,ITEM_ID,REF_DOC,REF_PAGE_NO,MINISTRY,BUDGETARY_UNIT,CROSS_FUNC?,BUDGET_PLAN,OUTPUT,PROJECT,CATEGORY_LV1,CATEGORY_LV2,CATEGORY_LV3,CATEGORY_LV4,CATEGORY_LV5,CATEGORY_LV6,ITEM_DESCRIPTION,FISCAL_YEAR,AMOUNT,OBLIGED?,DEBUG_LOG
161,2022.3.3(2).161,2022.3.3(2),77,กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม (2),มหาวิทยาลัยราชภัฏนครศรีธรรมราช,False,แผนงานพื้นฐานด้านการพัฒนาและเสริมสร้างศักยภาพทรัพยากรมนุษย์,ผู้สำเร็จการศึกษาด้านสังคมศาสตร์,,งบเงินอุดหนุน,เงินอุดหนุนทั่วไป,ค่าใช้จ่ายดำเนินงาน,,,,,2022,"8,327,500",False,"LEVEL NOT MATCH level: by x position 3, by pattern 2/ [['1.', 'งบลงทุน', '19,564,700', 'บาท'], ['1.1', 'ค่าครุภัณฑ์', 'ที่ดินและสิ่งก่อสร้าง', '19,564,700', 'บาท'], ['1.1.1', 'ค่าครุภัณฑ์', '7,789,700', 'บาท'], ['1.1.2', 'ค่าที่ดินและสิ่งก่อสร้าง', '11,775,000', 'บาท'], ['2.', 'งบเงินอุดหนุน', '9,327,500', 'บาท'], ['21', 'เงินอุดหนุนทั่วไป', '9,327,500', 'บาท'], ['1)', 'ค่าใช้จ่ายดำเนินงาน', '8,327,500', 'บาท']]"
162,2022.3.3(2).162,2022.3.3(2),77,กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม (2),มหาวิทยาลัยราชภัฏนครศรีธรรมราช,False,แผนงานพื้นฐานด้านการพัฒนาและเสริมสร้างศักยภาพทรัพยากรมนุษย์,ผู้สำเร็จการศึกษาด้านสังคมศาสตร์,,งบเงินอุดหนุน,เงินอุดหนุนทั่วไป,เงินอุดหนุนโครงการตามพระราชดำริ,,,,,2022,"1,000,000",False,"LEVEL NOT MATCH level: by x position 3, by pattern 2/ [['1.', 'งบลงทุน', '19,564,700', 'บาท'], ['1.1', 'ค่าครุภัณฑ์', 'ที่ดินและสิ่งก่อสร้าง', '19,564,700', 'บาท'], ['1.1.1', 'ค่าครุภัณฑ์', '7,789,700', 'บาท'], ['1.1.2', 'ค่าที่ดินและสิ่งก่อสร้าง', '11,775,000', 'บาท'], ['2.', 'งบเงินอุดหนุน', '9,327,500', 'บาท'], ['21', 'เงินอุดหนุนทั่วไป', '9,327,500', 'บาท'], ['2)', 'เงินอุดหนุนโครงการตามพระราชดำริ', '1,000,000', 'บาท']]"
194,2022.3.3(2).194,2022.3.3(2),82,กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม (2),มหาวิทยาลัยราชภัฏนครศรีธรรมราช,False,แผนงานพื้นฐานด้านการพัฒนาและเสริมสร้างศักยภาพทรัพยากรมนุษย์,ผู้สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,,งบเงินอุดหนุน,เงินอุดหนุนทั่วไป,ค่าใช้จ่ายดำเนินงาน,,,,,2022,"6,817,000",False,"NO BULLET FOUND/ LEVEL NOT MATCH level: by x position 3, by pattern 2/ [['1.', 'งบลงทุน', '78,466,500', 'บาท'], ['1.1', 'ค่าครุภัณฑ์', 'ที่ดินและสิ่งก่อสร้าง', '78,466,500', 'บาท'], ['1.1.1', 'ค่าครุภัณฑ์', '61,519,000', 'บาท'], ['1.1.2', 'ค่าที่ดินและสิ่งก่อสร้าง', 'Ide', '16,947,500', 'บาท'], ['2.', 'งบเงินอุดหนุน', '7,717,000', 'บาท'], ['2.1', 'เงินอุดหนุนทั่วไป', '7,717,000', 'unN'], ['ค่าใช้จ่ายดำเนินงาน', '6,817,000', 'บาท']]"
270,2022.3.3(2).270,2022.3.3(2),124,กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม (2),มหาวิทยาลัยราชภัฏบ้านสมเด็จเจ้าพระยา,False,แผนงานพื้นฐานด้านการพัฒนาและเสริมสร้างศักยภาพทรัพยากรมนุษย์,ผลงานการให้บริการวิชาการ,,งบเงินอุดหนุน,เงินอุดหนุนทั่วไป,เงินอุดหนุนค่าใช้จ่ายโครงการอนุรักษ์พันธุกรรมพืชอันเนื่องมาจากพระราชดำริฯ,,,,,2022,"3,843,000",False,"LEVEL NOT MATCH level: by x position 2, by pattern 3/ [['1.', 'งบเงินอุดหนุน', '3,843,000', 'บาท'], ['1.1', 'เงินอุดหนุนทั่วไป', '3,843,000', 'บาท'], ['1)', 'เงินอุดหนุนค่าใช้จ่ายโครงการอนุรักษ์พันธุกรรมพืชอันเนื่องมาจากพระราชดำริฯ', '3,843,000', 'บาท']]"
271,2022.3.3(2).271,2022.3.3(2),127,กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม (2),มหาวิทยาลัยราชภัฏบ้านสมเด็จเจ้าพระยา,False,แผนงานยุทธศาสตร์เสริมสร้างพลังทางสังคม,,โครงการยุทธศาสตร์มหาวิทยาลัยราชภัฏเพื่อการพัฒนาท้องถิ่น,งบเงินอุดหนุน,เงินอุดหนุนทั่วไป,เงินอุดหนุนค่าใช้จ่ายโครงการยุทธศาสตร์มหาวิทยาลัยราชภัฏเพื่อการพัฒนาท้องถิ่น,,,,,2022,"35,533,500",False,"LEVEL NOT MATCH level: by x position 2, by pattern 3/ [['1.', 'งบเงินอุดหนุน', '35,533,500', 'บาท'], ['1.1', 'เงินอุดหนุนทั่วไป', '35,533,500', 'บาท'], ['1)', 'เงินอุดหนุนค่าใช้จ่ายโครงการยุทธศาสตร์มหาวิทยาลัยราชภัฏเพื่อการพัฒนาท้องถิ่น', '35,533,500', 'บาท']]"
525,2022.3.3(2).525,2022.3.3(2),260,กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม (2),มหาวิทยาลัยราชภัฏเพชรบูรณ์,False,แผนงานพื้นฐานด้านการพัฒนาและเสริมสร้างศักยภาพทรัพยากรมนุษย์,ผู้สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,,งบลงทุน,ค่าครุภัณฑ์ ที่ดินและสิ่งก่อสร้าง,ค่าที่ดินและสิ่งก่อสร้าง,ค่าปรับปรุงสิ่งก่อสร้างอื่น,,,ค่าปรับปรุงสิ่งก่อสร้างอื่นที่มีราคาต่อหน่วยต่ำกว่า 10 ล้านบาท รวม 1 รายการ (รวม 1 หน่วย),2022,"5,000,000",False,"LEVEL NOT MATCH level: by x position 4, by pattern 3/ [['1.', 'งบลงทุน', '51,439,100', 'บาท'], ['1.1', 'ค่าครุภัณฑ์', 'ที่ดินและสิ่งก่อสร้าง', '51,439,100', 'บาท'], ['1.1.1', 'ค่าครุภัณฑ์', '35,924,000', 'UIN'], ['1.1.2', 'ค่าที่ดินและสิ่งก่อสร้าง', '15,515,100', 'บาท'], ['11.2.1', 'ค่าปรับปรุงสิ่งก่อสร้างอื่น', '5,000,000', 'บาท'], ['(1)', 'ค่าปรับปรุงสิ่งก่อสร้างอื่นที่มีราคาต่อหน่วยต่ำกว่า', '10', 'ล้านบาท', 'รวม', '1', 'รายการ', '(รวม', '1', 'หน่วย)', '5,000,000', 'บาท']]"
651,2022.3.3(2).651,2022.3.3(2),323,กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม (2),มหาวิทยาลัยราชภัฏยะลา,False,แผนงานยุทธศาสตร์การวิจัยและพัฒนานวัตกรรม,,โครงการนวัตกรรมการพัฒนาและยกระดับผลิตภัณฑ์ผ้าท้องถิ่น JNG 6 ข ข เสริมเศรษฐกิจฐานราก จังหวัดนราธิวาส,งบเงินอุดหนุน,เงินอุดหนุนทั่วไป,เงินอุดหนุนค่าใช้จ่ายในการดำเนินโครงการนวัตกรรมการพัฒนา และยกระดับผลิตภัณฑ์ผ้าท้องถิ่นเสริมเศรษฐกิจฐานราก จังหวัดนราธิวาส,,,,,2022,"841,400",False,"NO BULLET FOUND/ LEVEL NOT MATCH level: by x position 3, by pattern 2/ [['1.', 'งบเงินอุดหนุน', '841,400', 'บาท'], ['1.1', 'เงินอุดหนุนทั่วไป', '841,400', 'บาท'], ['เงินอุดหนุนค่าใช้จ่ายในการดำเนินโครงการนวัตกรรมการพัฒนา', 'และยกระดับผลิตภัณฑ์ผ้าท้องถิ่นเสริมเศรษฐกิจฐานราก', 'จังหวัดนราธิวาส', '841,400', 'บาท']]"
847,2022.3.3(2).847,2022.3.3(2),446,กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม (2),มหาวิทยาลัยราชภัฏเลย,False,แผนงานพื้นฐานด้านการพัฒนาและเสริมสร้างศักยภาพทรัพยากรมนุษย์,ผู้สำเร็จการศึกษาด้านสังคมศาสตร์,,งบลงทุน,ค่าครุภัณฑ์ ที่ดินและสิ่งก่อสร้าง,ค่าครุภัณฑ์,,ค่าที่ดินและสิ่งก่อสร้าง,,,2022,"47,055,900",False,"NO BULLET FOUND/ LEVEL NOT MATCH level: by x position 5, by pattern 4/ [['1.', 'งบลงทุน', '65,350,500', 'บาท'], ['1.1', 'ค่าครุภัณฑ์', 'ที่ดินและสิ่งก่อสร้าง', '65,350,500', 'บาท'], ['1.1.1', 'ค่าครุภัณฑ์', '18,294,600', 'บาท'], ['ค่าที่ดินและสิ่งก่อสร้าง', '47,055,900', 'บาท']]"
