,ITEM_ID,REF_DOC,REF_PAGE_NO,MINISTRY,BUDGETARY_UNIT,CROSS_FUNC?,BUDGET_PLAN,OUTPUT,PROJECT,CATEGORY_LV1,CATEGORY_LV2,CATEGORY_LV3,CATEGORY_LV4,CATEGORY_LV5,CATEGORY_LV6,ITEM_DESCRIPTION,FISCAL_YEAR,AMOUNT,OBLIGED?,DEBUG_LOG
0,2022.3.3(5).0,2022.3.3(5),7,กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม (5),สำนักงานคณะกรรมการส่งเสริมวิทยาศาสตร์ วิจัยและนวัตกรรม,False,แผนงานบุคลากรภาครัฐ,,,งบเงินอุดหนุน,เงินอุดหนุนทั่วไป,,,,,ค่าใช้จ่ายบุคลากร,2022,"117,298,600",False,
1,2022.3.3(5).1,2022.3.3(5),7,กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม (5),สำนักงานคณะกรรมการส่งเสริมวิทยาศาสตร์ วิจัยและนวัตกรรม,False,แผนงานบุคลากรภาครัฐ,,,งบเงินอุดหนุน,เงินอุดหนุนทั่วไป,,,,,ค่าใช้จ่ายดำเนินงาน,2022,"6,368,300",False,
2,2022.3.3(5).2,2022.3.3(5),9,กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม (5),สำนักงานคณะกรรมการส่งเสริมวิทยาศาสตร์ วิจัยและนวัตกรรม,False,แผนงานพื้นฐานด้านการสร้างความสามารถในการแข่งขัน,การจัดทำแผนยุทธศาสตร์ด้านวิทยาศาสตร์ วิจัยและ นวัตกรรม การบริหารระบบงบประมาณและกองทุนส่งเสริม วิทยาศาสตร์ วิจัยและนวัตกรรมให้มีประสิทธิภาพ รวมทั้งการพัฒนาระบบวิทยาศาสตร์ วิจัยและนวัตกรรม ของประเทศ,,งบเงินอุดหนุน,เงินอุดหนุนทั่วไป,,,,,ค่าใช้จ่ายดำเนินงาน,2022,"76,947,300",False,
3,2022.3.3(5).3,2022.3.3(5),20,กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม (5),สำนักงานพัฒนาวิทยาศาสตร์และเทคโนโลยีแห่งชาติ,False,แผนงานบุคลากรภาครัฐ,,,งบเงินอุดหนุน,เงินอุดหนุนทั่วไป,,,,,ค่าใช้จ่ายบุคลากร,2022,"1,445,220,100",False,
4,2022.3.3(5).4,2022.3.3(5),22,กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม (5),สำนักงานพัฒนาวิทยาศาสตร์และเทคโนโลยีแห่งชาติ,False,แผนงานพื้นฐานด้านการสร้างความสามารถในการแข่งขัน,การบริหารและใช้ประโยชน์อุทยานวิทยาศาสตร์ประเทศไทย,,งบเงินอุดหนุน,เงินอุดหนุนทั่วไป,,,,,ค่าใช้จ่ายดำเนินงาน,2022,"178,021,200",False,
5,2022.3.3(5).5,2022.3.3(5),24,กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม (5),สำนักงานพัฒนาวิทยาศาสตร์และเทคโนโลยีแห่งชาติ,False,แผนงานยุทธศาสตร์การเกษตรสร้างมูลค่า,,โครงการส่งเสริมการผลิตเศรษฐกิจชีวภาพ (Bio Economy) ให้เป็นฐานรายได้ใหม่ที่สำคัญของภาค,งบเงินอุดหนุน,เงินอุดหนุนทั่วไป,,,,,เ ค่าใช้จ่ายดำเนินงาน ๆ ข,2022,"10,000,000",False,
6,2022.3.3(5).6,2022.3.3(5),26,กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม (5),สำนักงานพัฒนาวิทยาศาสตร์และเทคโนโลยีแห่งชาติ,False,แผนงานยุทธศาสตร์การเกษตรสร้างมูลค่า,,โครงการพัฒนาต่อยอดอุตสาหกรรมสร้างสรรค์ 6 และสินค้าชุมชน,งบเงินอุดหนุน,เงินอุดหนุนทั่วไป,,,,,เ ค่าใช้จ่ายดำเนินงาน ๆ ข,2022,"12,500,000",False,
7,2022.3.3(5).7,2022.3.3(5),28,กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม (5),สำนักงานพัฒนาวิทยาศาสตร์และเทคโนโลยีแห่งชาติ,False,แผนงานยุทธศาสตร์การเกษตรสร้างมูลค่า,,โครงการเพิ่มประสิทธิภาพการผลิตสินค้าเกษตรปลอดภัย,งบเงินอุดหนุน,เงินอุดหนุนทั่วไป,,,,,ค่าใช้จ่ายดำเนินงาน,2022,"10,000,000",False,
8,2022.3.3(5).8,2022.3.3(5),30,กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม (5),สำนักงานพัฒนาวิทยาศาสตร์และเทคโนโลยีแห่งชาติ,False,แผนงานยุทธศาสตร์พัฒนาผู้ประกอบการและวิสาหกิจขนาดกลางและขนาดย่อม,,โครงการสร้างความพร้อมให้ SME ในการเข้าสู่การแข่งขัน ในบริบทใหม่ทางเศรษฐกิจ,งบเงินอุดหนุน,เงินอุดหนุนทั่วไป,,,,,เ ค่าใช้จ่ายดำเนินงาน ๆ ข,2022,"125,000,000",False,
9,2022.3.3(5).9,2022.3.3(5),32,กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม (5),สำนักงานพัฒนาวิทยาศาสตร์และเทคโนโลยีแห่งชาติ,False,แผนงานยุทธศาสตร์เพื่อสนับสนุนด้านการสร้างความสามารถในการแข่งขัน,การพัฒนาและส่งเสริมบุคลากรวิจัย,,งบเงินอุดหนุน,เงินอุดหนุนทั่วไป,,,,,ค่าใช้จ่ายดำเนินงาน,2022,"109,663,900",False,
