,ITEM_ID,REF_DOC,REF_PAGE_NO,MINISTRY,BUDGETARY_UNIT,CROSS_FUNC?,BUDGET_PLAN,OUTPUT,PROJECT,CATEGORY_LV1,CATEGORY_LV2,CATEGORY_LV3,CATEGORY_LV4,CATEGORY_LV5,CATEGORY_LV6,ITEM_DESCRIPTION,FISCAL_YEAR,AMOUNT,OBLIGED?,DEBUG_LOG
0,2022.3.7.0,2022.3.7,16,กระทรวงพลังงาน,สำนักงานปลัดกระทรวงพลังงาน,False,แผนงานบุคลากรภาครัฐ,,,งบบุคลากร,เงินเดือนและค่าจ้างประจำ,เงินเดือน,,,,,2022,"216,186,900",False,
1,2022.3.7.1,2022.3.7,16,กระทรวงพลังงาน,สำนักงานปลัดกระทรวงพลังงาน,False,แผนงานบุคลากรภาครัฐ,,,งบบุคลากร,เงินเดือนและค่าจ้างประจำ,ค่าจ้างประจำ,,,,,2022,"645,900",False,
2,2022.3.7.2,2022.3.7,16,กระทรวงพลังงาน,สำนักงานปลัดกระทรวงพลังงาน,False,แผนงานบุคลากรภาครัฐ,,,งบบุคลากร,ค่าตอบแทนพนักงานราชการ,,,,,,2022,"27,230,700",False,
3,2022.3.7.3,2022.3.7,16,กระทรวงพลังงาน,สำนักงานปลัดกระทรวงพลังงาน,False,แผนงานบุคลากรภาครัฐ,,,งบดำเนินงาน,ค่าตอบแทน ใช้สอยและวัสดุ,,,,,ค่าเช่าบ้าน,2022,"7,815,600",False,
4,2022.3.7.4,2022.3.7,16,กระทรวงพลังงาน,สำนักงานปลัดกระทรวงพลังงาน,False,แผนงานบุคลากรภาครัฐ,,,งบดำเนินงาน,ค่าตอบแทน ใช้สอยและวัสดุ,,,,,ค่าตอบแทนพิเศษข้าราชการและลูกจ้างประจำที่ได้รับเงินเดือนเต็มขั้น,2022,"83,000",False,
5,2022.3.7.5,2022.3.7,16,กระทรวงพลังงาน,สำนักงานปลัดกระทรวงพลังงาน,False,แผนงานบุคลากรภาครัฐ,,,งบดำเนินงาน,ค่าตอบแทน ใช้สอยและวัสดุ,,,,,ค่าตอบแทนพิเศษผู้ปฏิบัติงานชายแดนภาคใต้,2022,"84,000",False,
6,2022.3.7.6,2022.3.7,16,กระทรวงพลังงาน,สำนักงานปลัดกระทรวงพลังงาน,False,แผนงานบุคลากรภาครัฐ,,,งบดำเนินงาน,ค่าตอบแทน ใช้สอยและวัสดุ,,,,,เงินสมทบกองทุนประกันสังคม,2022,"793,700",False,
7,2022.3.7.7,2022.3.7,16,กระทรวงพลังงาน,สำนักงานปลัดกระทรวงพลังงาน,False,แผนงานบุคลากรภาครัฐ,,,งบดำเนินงาน,ค่าตอบแทน ใช้สอยและวัสดุ,,,,,เงินสมทบกองทุนเงินทดแทน,2022,"41,500",False,
8,2022.3.7.8,2022.3.7,18,กระทรวงพลังงาน,สำนักงานปลัดกระทรวงพลังงาน,False,แผนงานพื้นฐานด้านการสร้างความสามารถในการแข่งขัน,บริหารจัดการแผนพลังงาน,,งบดำเนินงาน,ค่าตอบแทน ใช้สอยและวัสดุ,,,,,ค่าตอบแทนเหมาจ่ายแทนการจัดหารถประจำตำแหน่ง,2022,"3,468,000",False,
9,2022.3.7.9,2022.3.7,18,กระทรวงพลังงาน,สำนักงานปลัดกระทรวงพลังงาน,False,แผนงานพื้นฐานด้านการสร้างความสามารถในการแข่งขัน,บริหารจัดการแผนพลังงาน,,งบดำเนินงาน,ค่าตอบแทน ใช้สอยและวัสดุ,,,,,ค่าเบี้ยประชุมกรรมการ,2022,"475,000",False,
