,ITEM_ID,REF_DOC,REF_PAGE_NO,MINISTRY,BUDGETARY_UNIT,CROSS_FUNC?,BUDGET_PLAN,OUTPUT,PROJECT,CATEGORY_LV1,CATEGORY_LV2,CATEGORY_LV3,CATEGORY_LV4,CATEGORY_LV5,CATEGORY_LV6,ITEM_DESCRIPTION,FISCAL_YEAR,AMOUNT,OBLIGED?,DEBUG_LOG
0,2022.3.3(1).0,2022.3.3(1),41,กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม (1),สำนักงานปลัดกระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,False,แผนงานบุคลากรภาครัฐ,,,งบบุคลากร,เงินเดือนและค่าจ้างประจำ,เงินเดือน,,,,,2022,"287,171,600",False,
1,2022.3.3(1).1,2022.3.3(1),41,กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม (1),สำนักงานปลัดกระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,False,แผนงานบุคลากรภาครัฐ,,,งบบุคลากร,เงินเดือนและค่าจ้างประจำ,ค่าจ้างประจำ,,,,,2022,"20,621,000",False,
2,2022.3.3(1).2,2022.3.3(1),41,กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม (1),สำนักงานปลัดกระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,False,แผนงานบุคลากรภาครัฐ,,,งบบุคลากร,ค่าจ้างชั่วคราว,,,,,,2022,"3,627,000",False,
3,2022.3.3(1).3,2022.3.3(1),41,กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม (1),สำนักงานปลัดกระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,False,แผนงานบุคลากรภาครัฐ,,,งบบุคลากร,ค่าตอบแทนพนักงานราชการ,,,,,,2022,"12,613,800",False,
4,2022.3.3(1).4,2022.3.3(1),41,กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม (1),สำนักงานปลัดกระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,False,แผนงานบุคลากรภาครัฐ,,,งบดำเนินงาน,ค่าตอบแทน ใช้สอยและวัสดุ,,,,,ค่าเช่าบ้าน,2022,"6,053,800",False,
5,2022.3.3(1).5,2022.3.3(1),41,กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม (1),สำนักงานปลัดกระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,False,แผนงานบุคลากรภาครัฐ,,,งบดำเนินงาน,ค่าตอบแทน ใช้สอยและวัสดุ,,,,,เงินอื่นๆ ที่กฎหมายกำหนดให้จ่ายควบกับค่าจ้างชั่วคราวที่ปฏิบัติงาน ในต่างประเทศ,2022,"747,000",False,
6,2022.3.3(1).6,2022.3.3(1),41,กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม (1),สำนักงานปลัดกระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,False,แผนงานบุคลากรภาครัฐ,,,งบดำเนินงาน,ค่าตอบแทน ใช้สอยและวัสดุ,,,,,ค่าตอบแทนพิเศษข้าราชการและลูกจ้างที่ได้รับเงินเดือนเต็มชั้น นเดือนเต็มขัน,2022,"138,700",False,
7,2022.3.3(1).7,2022.3.3(1),41,กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม (1),สำนักงานปลัดกระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,False,แผนงานบุคลากรภาครัฐ,,,งบดำเนินงาน,ค่าตอบแทน ใช้สอยและวัสดุ,,,,,เงินสมทบกองทุนประกันสังคม,2022,"398,300",False,
8,2022.3.3(1).8,2022.3.3(1),41,กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม (1),สำนักงานปลัดกระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,False,แผนงานบุคลากรภาครัฐ,,,งบดำเนินงาน,ค่าตอบแทน ใช้สอยและวัสดุ,,,,,เงินสมทบกองทุนเงินทดแทน,2022,"21,100",False,
9,2022.3.3(1).9,2022.3.3(1),41,กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม (1),สำนักงานปลัดกระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,False,แผนงานบุคลากรภาครัฐ,,,งบเงินอุดหนุน,เงินอุดหนุนทั่วไป,ค่าใช้จ่ายบุคลากร,,,,,2022,"413,609,500",False,
10,2022.3.3(1).10,2022.3.3(1),41,กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม (1),สำนักงานปลัดกระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,False,แผนงานบุคลากรภาครัฐ,,,งบเงินอุดหนุน,เงินอุดหนุนทั่วไป,ค่าใช้จ่ายดำเนินงาน,,,,,2022,"39,035,400",False,
11,2022.3.3(1).11,2022.3.3(1),44,กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม (1),สำนักงานปลัดกระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,False,แผนงานพื้นฐานด้านการสร้างความสามารถในการแข่งขัน,การถ่ายทอดเทคโนโลยี,,งบดำเนินงาน,ค่าตอบแทน ใช้สอยและวัสดุ,,,,,ค่าใช้จ่ายเพื่อการพัฒนาและถ่ายทอดเทคโนโลยีการสร้างเครื่องจักร างเครื่องจ่ เครื่องมือ และอุปกรณ์ เพื่อเพิ่มขีดความสามารถของภาคการผลิต และบริการ,2022,"7,500,000",False,
12,2022.3.3(1).12,2022.3.3(1),44,กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม (1),สำนักงานปลัดกระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,False,แผนงานพื้นฐานด้านการสร้างความสามารถในการแข่งขัน,การถ่ายทอดเทคโนโลยี,,งบดำเนินงาน,ค่าตอบแทน ใช้สอยและวัสดุ,,,,,ค่าใช้จ่ายในการนำวิทยาศาสตร์ เทคโนโลยี และนวัตกรรม เพื่อเพิ่มศักยภาพการผลิตและเศรษฐกิจชุมชน,2022,"5,000,000",False,
13,2022.3.3(1).13,2022.3.3(1),44,กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม (1),สำนักงานปลัดกระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,False,แผนงานพื้นฐานด้านการสร้างความสามารถในการแข่งขัน,การถ่ายทอดเทคโนโลยี,,งบเงินอุดหนุน,เงินอุดหนุนทั่วไป,เงินอุดหนุนเพื่อการส่งเสริมการนำวิทยาศาสตร์ เทคโนโลยี และนวัตกรรม เพื่อเพิ่มศักยภาพการผลิตและเศรษฐกิจชุมชน,,,,,2022,"38,500,000",False,
14,2022.3.3(1).14,2022.3.3(1),44,กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม (1),สำนักงานปลัดกระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,False,แผนงานพื้นฐานด้านการสร้างความสามารถในการแข่งขัน,การถ่ายทอดเทคโนโลยี,,งบเงินอุดหนุน,เงินอุดหนุนทั่วไป,เงินอุดหนุนเพื่อการพัฒนาและถ่ายทอดเทคโนโลยีการสร้างเครื่องจักร เครื่องมือ และอุปกรณ์ เพื่อเพิ่มขีดความสามารถของภาคการผลิตและบริการ,,,,,2022,"39,000,000",False,
15,2022.3.3(1).15,2022.3.3(1),47,กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม (1),สำนักงานปลัดกระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,False,แผนงานพื้นฐานด้านการสร้างความสามารถในการแข่งขัน,การให้บริการเผยแพร่ความรู้ด้านวิทยาศาสตร์ เทคโนโลยี และนวัตกรรม,,งบดำเนินงาน,ค่าตอบแทน ใช้สอยและวัสดุ,,,,,ค่าใช้จ่ายเพื่อการจัดงานเทิดพระเกียรติพระบิดาแห่งเทคโนโลยีของไทย และงานวันเทคโนโลยีของไทย,2022,"10,131,500",False,
16,2022.3.3(1).16,2022.3.3(1),47,กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม (1),สำนักงานปลัดกระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,False,แผนงานพื้นฐานด้านการสร้างความสามารถในการแข่งขัน,การให้บริการเผยแพร่ความรู้ด้านวิทยาศาสตร์ เทคโนโลยี และนวัตกรรม,,งบดำเนินงาน,ค่าตอบแทน ใช้สอยและวัสดุ,,,,,ค่าใช้จ่ายเพื่อจัดงานสัปดาห์วิทยาศาสตร์แห่งชาติ เ ๆ ข,2022,"1,296,500",False,
17,2022.3.3(1).17,2022.3.3(1),47,กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม (1),สำนักงานปลัดกระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,False,แผนงานพื้นฐานด้านการสร้างความสามารถในการแข่งขัน,การให้บริการเผยแพร่ความรู้ด้านวิทยาศาสตร์ เทคโนโลยี และนวัตกรรม,,งบดำเนินงาน,ค่าตอบแทน ใช้สอยและวัสดุ,,,,,ค่าใช้จ่ายเพื่อสร้างความรู้และความตระหนักด้านวิทยาศาสตร์ และเทคโนโลยี,2022,"3,572,000",False,
18,2022.3.3(1).18,2022.3.3(1),47,กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม (1),สำนักงานปลัดกระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,False,แผนงานพื้นฐานด้านการสร้างความสามารถในการแข่งขัน,การให้บริการเผยแพร่ความรู้ด้านวิทยาศาสตร์ เทคโนโลยี และนวัตกรรม,,งบลงทุน,ค่าครุภัณฑ์ ที่ดินและสิ่งก่อสร้าง,ค่าครุภัณฑ์,ครุภัณฑ์โฆษณาและเผยแพร่,,,ครุภัณฑ์โฆษณาและเผยแพร่ที่มีราคาต่อหน่วยต่ำกว่า 1 ล้านบาท รวม 1 รายการ (รวม 1 หน่วย),2022,"246,600",False,
19,2022.3.3(1).19,2022.3.3(1),47,กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม (1),สำนักงานปลัดกระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,False,แผนงานพื้นฐานด้านการสร้างความสามารถในการแข่งขัน,การให้บริการเผยแพร่ความรู้ด้านวิทยาศาสตร์ เทคโนโลยี และนวัตกรรม,,งบเงินอุดหนุน,เงินอุดหนุนทั่วไป,เงินอุดหนุนการดำเนินงานของสมาคมวิชาการและวิชาชีพด้านวิทยาศาสตร์ และเทคโนโลยี,,,,,2022,"3,000,000",False,
20,2022.3.3(1).20,2022.3.3(1),47,กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม (1),สำนักงานปลัดกระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,False,แผนงานพื้นฐานด้านการสร้างความสามารถในการแข่งขัน,การให้บริการเผยแพร่ความรู้ด้านวิทยาศาสตร์ เทคโนโลยี และนวัตกรรม,,งบเงินอุดหนุน,เงินอุดหนุนทั่วไป,เงินอุดหนุนสมาคมวิทยาศาสตร์แห่งประเทศไทยในพระบรมราชูปถัมภ์,,,,,2022,"200,000",False,
21,2022.3.3(1).21,2022.3.3(1),47,กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม (1),สำนักงานปลัดกระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,False,แผนงานพื้นฐานด้านการสร้างความสามารถในการแข่งขัน,การให้บริการเผยแพร่ความรู้ด้านวิทยาศาสตร์ เทคโนโลยี และนวัตกรรม,,งบเงินอุดหนุน,เงินอุดหนุนทั่วไป,เงินอุดหนุนสถาบันการศึกษาในภูมิภาคและสมาคมวิทยาศาสตร์ แห่งประเทศไทยฯ เพื่อจัดงานสัปดาห์วิทยาศาสตร์แห่งชาติ,,,,,2022,"6,000,000",False,
22,2022.3.3(1).22,2022.3.3(1),47,กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม (1),สำนักงานปลัดกระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,False,แผนงานพื้นฐานด้านการสร้างความสามารถในการแข่งขัน,การให้บริการเผยแพร่ความรู้ด้านวิทยาศาสตร์ เทคโนโลยี และนวัตกรรม,,งบรายจ่ายอื่น,ค่าใช้จ่ายเพื่อพัฒนาศูนย์ความรู้ด้านวิทยาศาสตร์และเทคโนโลยี (STKC),ค่าครุภัณฑ์,,,,,2022,"4,000,000",False,
23,2022.3.3(1).23,2022.3.3(1),47,กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม (1),สำนักงานปลัดกระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,False,แผนงานพื้นฐานด้านการสร้างความสามารถในการแข่งขัน,การให้บริการเผยแพร่ความรู้ด้านวิทยาศาสตร์ เทคโนโลยี และนวัตกรรม,,งบรายจ่ายอื่น,ค่าใช้จ่ายเพื่อจัดทำองค์ความรู้ด้านวิทยาศาสตร์ เทคโนโลยี และนวัตกรรม ในรูปแบบดิจิทัล,ค่าครุภัณฑ์,,,,,2022,"5,000,000",False,
