,ITEM_ID,REF_DOC,REF_PAGE_NO,MINISTRY,BUDGETARY_UNIT,CROSS_FUNC?,BUDGET_PLAN,OUTPUT,PROJECT,CATEGORY_LV1,CATEGORY_LV2,CATEGORY_LV3,CATEGORY_LV4,CATEGORY_LV5,CATEGORY_LV6,ITEM_DESCRIPTION,FISCAL_YEAR,AMOUNT,OBLIGED?,DEBUG_LOG
0,2022.3.12.0,2022.3.12,15,กระทรวงอุตสาหกรรม,สำนักงานปลัดกระทรวงอุตสาหกรรม,False,แผนงานบุคลากรภาครัฐ,,,งบบุคลากร,เงินเดือนและค่าจ้างประจำ,,,,,เงินเดือน,2022,"431,026,400",False,
1,2022.3.12.1,2022.3.12,15,กระทรวงอุตสาหกรรม,สำนักงานปลัดกระทรวงอุตสาหกรรม,False,แผนงานบุคลากรภาครัฐ,,,งบบุคลากร,เงินเดือนและค่าจ้างประจำ,,,,,ค่าจ้างประจำ,2022,"41,288,900",False,
2,2022.3.12.2,2022.3.12,15,กระทรวงอุตสาหกรรม,สำนักงานปลัดกระทรวงอุตสาหกรรม,False,แผนงานบุคลากรภาครัฐ,,,งบบุคลากร,,,,,,ค่าจ้างชั่วคราว,2022,"2,128,500",False,
3,2022.3.12.3,2022.3.12,15,กระทรวงอุตสาหกรรม,สำนักงานปลัดกระทรวงอุตสาหกรรม,False,แผนงานบุคลากรภาครัฐ,,,งบบุคลากร,,,,,,ค่าตอบแทนพนักงานราชการ,2022,"34,566,400",False,
4,2022.3.12.4,2022.3.12,15,กระทรวงอุตสาหกรรม,สำนักงานปลัดกระทรวงอุตสาหกรรม,False,แผนงานบุคลากรภาครัฐ,,,งบดำเนินงาน,ค่าตอบแทน ใช้สอยและวัสดุ,,,,,ค่าเช่าบ้าน,2022,"12,387,600",False,
5,2022.3.12.5,2022.3.12,15,กระทรวงอุตสาหกรรม,สำนักงานปลัดกระทรวงอุตสาหกรรม,False,แผนงานบุคลากรภาครัฐ,,,งบดำเนินงาน,ค่าตอบแทน ใช้สอยและวัสดุ,,,,,เงินพิเศษจ่ายแก่สูกจ้างในต่างประเทศ,2022,"514,000",False,
6,2022.3.12.6,2022.3.12,15,กระทรวงอุตสาหกรรม,สำนักงานปลัดกระทรวงอุตสาหกรรม,False,แผนงานบุคลากรภาครัฐ,,,งบดำเนินงาน,ค่าตอบแทน ใช้สอยและวัสดุ,,,,,ค่าตอบแทนพิเศษข้าราชการและลูกจ้างประจำที่ได้รับเงินเดือนเต็มขั้น M บบ ๘,2022,"334,800",False,
7,2022.3.12.7,2022.3.12,15,กระทรวงอุตสาหกรรม,สำนักงานปลัดกระทรวงอุตสาหกรรม,False,แผนงานบุคลากรภาครัฐ,,,งบดำเนินงาน,ค่าตอบแทน ใช้สอยและวัสดุ,,,,,ค่าตอบแทนพิเศษผู้ปฏิบัติงานชายแดนภาคใต้,2022,"282,000",False,
8,2022.3.12.8,2022.3.12,15,กระทรวงอุตสาหกรรม,สำนักงานปลัดกระทรวงอุตสาหกรรม,False,แผนงานบุคลากรภาครัฐ,,,งบดำเนินงาน,ค่าตอบแทน ใช้สอยและวัสดุ,,,,,ค่ารักษาพยาบาลข้าราชการในต่างประเทศ,2022,"186,600",False,
9,2022.3.12.9,2022.3.12,15,กระทรวงอุตสาหกรรม,สำนักงานปลัดกระทรวงอุตสาหกรรม,False,แผนงานบุคลากรภาครัฐ,,,งบดำเนินงาน,ค่าตอบแทน ใช้สอยและวัสดุ,,,,,เงินสมทบกองทุนประกันสังคม,2022,"1,118,700",False,
10,2022.3.12.10,2022.3.12,15,กระทรวงอุตสาหกรรม,สำนักงานปลัดกระทรวงอุตสาหกรรม,False,แผนงานบุคลากรภาครัฐ,,,งบดำเนินงาน,ค่าตอบแทน ใช้สอยและวัสดุ,,,,,เงินสมทบกองทุนเงินทดแทน,2022,"58,100",False,
11,2022.3.12.11,2022.3.12,17,กระทรวงอุตสาหกรรม,สำนักงานปลัดกระทรวงอุตสาหกรรม,False,แผนงานพื้นฐานด้านการสร้างความสามารถในการแข่งขัน,ส่งเสริมและพัฒนาอุตสาหกรรมอย่างยั่งยืน,,งบดำเนินงาน,ค่าตอบแทน ใช้สอยและวัสดุ,,,,,ค่าตอบแทนการปฏิบัติงานนอกเวลาราชการ,2022,"1,722,400",False,
12,2022.3.12.12,2022.3.12,17,กระทรวงอุตสาหกรรม,สำนักงานปลัดกระทรวงอุตสาหกรรม,False,แผนงานพื้นฐานด้านการสร้างความสามารถในการแข่งขัน,ส่งเสริมและพัฒนาอุตสาหกรรมอย่างยั่งยืน,,งบดำเนินงาน,ค่าตอบแทน ใช้สอยและวัสดุ,,,,,ค่าตอบแทนผู้ปฏิบัติงานให้ราชการ ๆ,2022,"361,500",False,
13,2022.3.12.13,2022.3.12,17,กระทรวงอุตสาหกรรม,สำนักงานปลัดกระทรวงอุตสาหกรรม,False,แผนงานพื้นฐานด้านการสร้างความสามารถในการแข่งขัน,ส่งเสริมและพัฒนาอุตสาหกรรมอย่างยั่งยืน,,งบดำเนินงาน,ค่าตอบแทน ใช้สอยและวัสดุ,,,,,ค่าเบี้ยประชุมกรรมการ,2022,"175,800",False,
14,2022.3.12.14,2022.3.12,17,กระทรวงอุตสาหกรรม,สำนักงานปลัดกระทรวงอุตสาหกรรม,False,แผนงานพื้นฐานด้านการสร้างความสามารถในการแข่งขัน,ส่งเสริมและพัฒนาอุตสาหกรรมอย่างยั่งยืน,,งบดำเนินงาน,ค่าตอบแทน ใช้สอยและวัสดุ,,,,,ค่าตอบแทนเหมาจ่ายแทนการจัดหารถประจำตำแหน่ง,2022,"3,827,300",False,
