,ITEM_ID,REF_DOC,REF_PAGE_NO,MINISTRY,BUDGETARY_UNIT,CROSS_FUNC?,BUDGET_PLAN,OUTPUT,PROJECT,CATEGORY_LV1,CATEGORY_LV2,CATEGORY_LV3,CATEGORY_LV4,CATEGORY_LV5,CATEGORY_LV6,ITEM_DESCRIPTION,FISCAL_YEAR,AMOUNT,OBLIGED?,DEBUG_LOG
0,2022.3.14.0,2022.3.14,18,รัฐวิสาหกิจ,การกีฬาแห่งประเทศไทย,False,แผนงานพื้นฐานด้านการพัฒนาและเสริมสร้างศักยภาพทรัพยากรมนุษย์,การบริหารจัดการองค์กร,,งบเงินอุดหนุน,เงินอุดหนุนทั่วไป,,,,,การพัฒนาการให้บริการทางการกีฬาในส่วนภูมิภาคไปสู่ความเป็นเลิศตามมาตรฐานสากล,2022,"48,350,000",False,
1,2022.3.14.1,2022.3.14,18,รัฐวิสาหกิจ,การกีฬาแห่งประเทศไทย,False,แผนงานพื้นฐานด้านการพัฒนาและเสริมสร้างศักยภาพทรัพยากรมนุษย์,การบริหารจัดการองค์กร,,งบเงินอุดหนุน,เงินอุดหนุนทั่วไป,,,,,ความร่วมมือด้านการกีฬาระหว่างประเทศ,2022,"1,052,000",False,
2,2022.3.14.2,2022.3.14,18,รัฐวิสาหกิจ,การกีฬาแห่งประเทศไทย,False,แผนงานพื้นฐานด้านการพัฒนาและเสริมสร้างศักยภาพทรัพยากรมนุษย์,การบริหารจัดการองค์กร,,งบเงินอุดหนุน,เงินอุดหนุนทั่วไป,,,,,การเพิ่มประสิทธิภาพการดำเนินงานด้านนิติการของ กกท.,2022,"1,749,700",False,
3,2022.3.14.3,2022.3.14,18,รัฐวิสาหกิจ,การกีฬาแห่งประเทศไทย,False,แผนงานพื้นฐานด้านการพัฒนาและเสริมสร้างศักยภาพทรัพยากรมนุษย์,การบริหารจัดการองค์กร,,งบเงินอุดหนุน,เงินอุดหนุนทั่วไป,,,,,การพัฒนาศักยภาพเพื่อเพิ่มประสิทธิภาพด้านการเงิน การบัญชี การพัสดุ,2022,"4,859,500",False,
4,2022.3.14.4,2022.3.14,18,รัฐวิสาหกิจ,การกีฬาแห่งประเทศไทย,False,แผนงานพื้นฐานด้านการพัฒนาและเสริมสร้างศักยภาพทรัพยากรมนุษย์,การบริหารจัดการองค์กร,,งบเงินอุดหนุน,เงินอุดหนุนทั่วไป,ค่าใช้จ่ายในการดำเนินงาน,,,,ค่าใช้จ่ายสำหรับส่วนกลาง,2022,"55,518,600",False,
5,2022.3.14.5,2022.3.14,18,รัฐวิสาหกิจ,การกีฬาแห่งประเทศไทย,False,แผนงานพื้นฐานด้านการพัฒนาและเสริมสร้างศักยภาพทรัพยากรมนุษย์,การบริหารจัดการองค์กร,,งบเงินอุดหนุน,เงินอุดหนุนทั่วไป,ค่าใช้จ่ายในการดำเนินงาน,,,,"ค่าเช่ารถบรรทุก บ น ปริมาตรกระบอกสูบไม่ต่ำกว่า 2,400 ซีซี แบบดับเบิ้ลแค็บ 52 คัน",2021,"9,771,900.0",True,
6,2022.3.14.6,2022.3.14,18,รัฐวิสาหกิจ,การกีฬาแห่งประเทศไทย,False,แผนงานพื้นฐานด้านการพัฒนาและเสริมสร้างศักยภาพทรัพยากรมนุษย์,การบริหารจัดการองค์กร,,งบเงินอุดหนุน,เงินอุดหนุนทั่วไป,ค่าใช้จ่ายในการดำเนินงาน,,,,"ค่าเช่ารถบรรทุก บ น ปริมาตรกระบอกสูบไม่ต่ำกว่า 2,400 ซีซี แบบดับเบิ้ลแค็บ 52 คัน",2022,"4,071,600.0",True,
7,2022.3.14.7,2022.3.14,18,รัฐวิสาหกิจ,การกีฬาแห่งประเทศไทย,False,แผนงานพื้นฐานด้านการพัฒนาและเสริมสร้างศักยภาพทรัพยากรมนุษย์,การบริหารจัดการองค์กร,,งบเงินอุดหนุน,เงินอุดหนุนทั่วไป,ค่าใช้จ่ายในการดำเนินงาน,,,,"ค่าเช่ารถบรรทุก บ น ปริมาตรกระบอกสูบไม่ต่ำกว่า 2,400 ซีซี แบบดับเบิ้ลแค็บ 52 คัน",2023,"9,771,900.0",True,
8,2022.3.14.8,2022.3.14,18,รัฐวิสาหกิจ,การกีฬาแห่งประเทศไทย,False,แผนงานพื้นฐานด้านการพัฒนาและเสริมสร้างศักยภาพทรัพยากรมนุษย์,การบริหารจัดการองค์กร,,งบเงินอุดหนุน,เงินอุดหนุนทั่วไป,ค่าใช้จ่ายในการดำเนินงาน,,,,"ค่าเช่ารถบรรทุก บ น ปริมาตรกระบอกสูบไม่ต่ำกว่า 2,400 ซีซี แบบดับเบิ้ลแค็บ 52 คัน",2024,"9,771,900.0",True,
9,2022.3.14.9,2022.3.14,18,รัฐวิสาหกิจ,การกีฬาแห่งประเทศไทย,False,แผนงานพื้นฐานด้านการพัฒนาและเสริมสร้างศักยภาพทรัพยากรมนุษย์,การบริหารจัดการองค์กร,,งบเงินอุดหนุน,เงินอุดหนุนทั่วไป,ค่าใช้จ่ายในการดำเนินงาน,,,,"ค่าเช่ารถบรรทุก บ น ปริมาตรกระบอกสูบไม่ต่ำกว่า 2,400 ซีซี แบบดับเบิ้ลแค็บ 52 คัน",2025,"15,472,200.0",True,
10,2022.3.14.10,2022.3.14,18,รัฐวิสาหกิจ,การกีฬาแห่งประเทศไทย,False,แผนงานพื้นฐานด้านการพัฒนาและเสริมสร้างศักยภาพทรัพยากรมนุษย์,การบริหารจัดการองค์กร,,งบเงินอุดหนุน,เงินอุดหนุนทั่วไป,ค่าใช้จ่ายในการดำเนินงาน,,,,"ค่าเช่ารถโดยสารขนาด บ น 12 ที่นั่ง (ดีเซล) ปริมาตรกระบอกสูบไม่ต่ำกว่า 2,400 ซีซี 34 คัน",2021,"10,098,000.0",True,
11,2022.3.14.11,2022.3.14,18,รัฐวิสาหกิจ,การกีฬาแห่งประเทศไทย,False,แผนงานพื้นฐานด้านการพัฒนาและเสริมสร้างศักยภาพทรัพยากรมนุษย์,การบริหารจัดการองค์กร,,งบเงินอุดหนุน,เงินอุดหนุนทั่วไป,ค่าใช้จ่ายในการดำเนินงาน,,,,"ค่าเช่ารถโดยสารขนาด บ น 12 ที่นั่ง (ดีเซล) ปริมาตรกระบอกสูบไม่ต่ำกว่า 2,400 ซีซี 34 คัน",2022,"4,207,500.0",True,
12,2022.3.14.12,2022.3.14,18,รัฐวิสาหกิจ,การกีฬาแห่งประเทศไทย,False,แผนงานพื้นฐานด้านการพัฒนาและเสริมสร้างศักยภาพทรัพยากรมนุษย์,การบริหารจัดการองค์กร,,งบเงินอุดหนุน,เงินอุดหนุนทั่วไป,ค่าใช้จ่ายในการดำเนินงาน,,,,"ค่าเช่ารถโดยสารขนาด บ น 12 ที่นั่ง (ดีเซล) ปริมาตรกระบอกสูบไม่ต่ำกว่า 2,400 ซีซี 34 คัน",2023,"10,098,000.0",True,
13,2022.3.14.13,2022.3.14,18,รัฐวิสาหกิจ,การกีฬาแห่งประเทศไทย,False,แผนงานพื้นฐานด้านการพัฒนาและเสริมสร้างศักยภาพทรัพยากรมนุษย์,การบริหารจัดการองค์กร,,งบเงินอุดหนุน,เงินอุดหนุนทั่วไป,ค่าใช้จ่ายในการดำเนินงาน,,,,"ค่าเช่ารถโดยสารขนาด บ น 12 ที่นั่ง (ดีเซล) ปริมาตรกระบอกสูบไม่ต่ำกว่า 2,400 ซีซี 34 คัน",2024,"10,098,000.0",True,
14,2022.3.14.14,2022.3.14,18,รัฐวิสาหกิจ,การกีฬาแห่งประเทศไทย,False,แผนงานพื้นฐานด้านการพัฒนาและเสริมสร้างศักยภาพทรัพยากรมนุษย์,การบริหารจัดการองค์กร,,งบเงินอุดหนุน,เงินอุดหนุนทั่วไป,ค่าใช้จ่ายในการดำเนินงาน,,,,"ค่าเช่ารถโดยสารขนาด บ น 12 ที่นั่ง (ดีเซล) ปริมาตรกระบอกสูบไม่ต่ำกว่า 2,400 ซีซี 34 คัน",2025,"15,988,500.0",True,
15,2022.3.14.15,2022.3.14,18,รัฐวิสาหกิจ,การกีฬาแห่งประเทศไทย,False,แผนงานพื้นฐานด้านการพัฒนาและเสริมสร้างศักยภาพทรัพยากรมนุษย์,การบริหารจัดการองค์กร,,งบเงินอุดหนุน,เงินอุดหนุนทั่วไป,ค่าใช้จ่ายในการดำเนินงาน,,,,"ค่าเช่ารถบรรทุก ปริมาตรกระบอกสูบไม่ต่ำกว่า 2,400 ซีซี แบบดับเบิ้ลแค็บ 19 คัน",2022,"3,570,500.0",True,
16,2022.3.14.16,2022.3.14,18,รัฐวิสาหกิจ,การกีฬาแห่งประเทศไทย,False,แผนงานพื้นฐานด้านการพัฒนาและเสริมสร้างศักยภาพทรัพยากรมนุษย์,การบริหารจัดการองค์กร,,งบเงินอุดหนุน,เงินอุดหนุนทั่วไป,ค่าใช้จ่ายในการดำเนินงาน,,,,"ค่าเช่ารถบรรทุก ปริมาตรกระบอกสูบไม่ต่ำกว่า 2,400 ซีซี แบบดับเบิ้ลแค็บ 19 คัน",2023,"3,570,500.0",True,
