,ITEM_ID,REF_DOC,REF_PAGE_NO,MINISTRY,BUDGETARY_UNIT,CROSS_FUNC?,BUDGET_PLAN,OUTPUT,PROJECT,CATEGORY_LV1,CATEGORY_LV2,CATEGORY_LV3,CATEGORY_LV4,CATEGORY_LV5,CATEGORY_LV6,ITEM_DESCRIPTION,FISCAL_YEAR,AMOUNT,OBLIGED?
2022.3.6.0,2022.3.6.0,2022.3.6,18,กระทรวงทรพัยากรธรรมชาติและส(cid:201)งิแวดลอ้ม,สาํนักงานปลดักระทรวงทรพัยากรธรรมชาติและส(cid:201)งิแวดลอ้ม,False,แผนงานบุคลากรภาครัฐ,,,งบบุคลากร,เงินเดือนและค่าจ้างประจำํ,,,,,เงินเดือน,2022,730199700.0,False
2022.3.6.1,2022.3.6.1,2022.3.6,18,กระทรวงทรพัยากรธรรมชาติและส(cid:201)งิแวดลอ้ม,สาํนักงานปลดักระทรวงทรพัยากรธรรมชาติและส(cid:201)งิแวดลอ้ม,False,แผนงานบุคลากรภาครัฐ,,,งบบุคลากร,เงินเดือนและค่าจ้างประจำํ,,,,,ค่าจ้างประจำํ,2022,19413500.0,False
2022.3.6.2,2022.3.6.2,2022.3.6,18,กระทรวงทรพัยากรธรรมชาติและส(cid:201)งิแวดลอ้ม,สาํนักงานปลดักระทรวงทรพัยากรธรรมชาติและส(cid:201)งิแวดลอ้ม,False,แผนงานบุคลากรภาครัฐ,,,งบบุคลากร,,,,,,ค่าตอบแทนพนกังานราชการ,2022,136382700.0,False
2022.3.6.3,2022.3.6.3,2022.3.6,18,กระทรวงทรพัยากรธรรมชาติและส(cid:201)งิแวดลอ้ม,สาํนักงานปลดักระทรวงทรพัยากรธรรมชาติและส(cid:201)งิแวดลอ้ม,False,แผนงานบุคลากรภาครัฐ,,,งบดําเนินงาน,ค่าตอบแทนใช้สอยและวัสดุ,,,,,ค่าเช่าบ้าน,2022,22272700.0,False
2022.3.6.4,2022.3.6.4,2022.3.6,18,กระทรวงทรพัยากรธรรมชาติและส(cid:201)งิแวดลอ้ม,สาํนักงานปลดักระทรวงทรพัยากรธรรมชาติและส(cid:201)งิแวดลอ้ม,False,แผนงานบุคลากรภาครัฐ,,,งบดําเนินงาน,ค่าตอบแทนใช้สอยและวัสดุ,,,,,เงินตอบแทนพิเศษของข้าราชการผูไ้ดร้บัเงินเดือนถึงขนั(cid:202) สูงของอนัดบั,2022,1220300.0,False
2022.3.6.5,2022.3.6.5,2022.3.6,18,กระทรวงทรพัยากรธรรมชาติและส(cid:201)งิแวดลอ้ม,สาํนักงานปลดักระทรวงทรพัยากรธรรมชาติและส(cid:201)งิแวดลอ้ม,False,แผนงานบุคลากรภาครัฐ,,,งบดําเนินงาน,ค่าตอบแทนใช้สอยและวัสดุ,,,,,เงินตอบแทนพิเศษของลูกจ้างประจาํผูไ้ดร้บัค่าจ้างขนั(cid:202) สูงของตาํแหน่ง,2022,83000.0,False
2022.3.6.6,2022.3.6.6,2022.3.6,18,กระทรวงทรพัยากรธรรมชาติและส(cid:201)งิแวดลอ้ม,สาํนักงานปลดักระทรวงทรพัยากรธรรมชาติและส(cid:201)งิแวดลอ้ม,False,แผนงานบุคลากรภาครัฐ,,,งบดําเนินงาน,ค่าตอบแทนใช้สอยและวัสดุ,,,,,เงินตอบแทนพิเศษรายเดือนใหแ้ก่เจ้าหน้าทผ(cid:201)ีูป้ฏบิตังิานในพ(cid:202)นืท(cid:201)ีจงัหวดัชายแดนภาคใต้,2022,546000.0,False
2022.3.6.7,2022.3.6.7,2022.3.6,18,กระทรวงทรพัยากรธรรมชาติและส(cid:201)งิแวดลอ้ม,สาํนักงานปลดักระทรวงทรพัยากรธรรมชาติและส(cid:201)งิแวดลอ้ม,False,แผนงานบุคลากรภาครัฐ,,,งบดําเนินงาน,ค่าตอบแทนใช้สอยและวัสดุ,,,,,เงินสมทบกองทนุประกนัสังคม,2022,4662000.0,False
2022.3.6.8,2022.3.6.8,2022.3.6,18,กระทรวงทรพัยากรธรรมชาติและส(cid:201)งิแวดลอ้ม,สาํนักงานปลดักระทรวงทรพัยากรธรรมชาติและส(cid:201)งิแวดลอ้ม,False,แผนงานบุคลากรภาครัฐ,,,งบดําเนินงาน,ค่าตอบแทนใช้สอยและวัสดุ,,,,,เงินสมทบกองทนุเงินทดแทน,2022,248600.0,False
2022.3.6.9,2022.3.6.9,2022.3.6,20,กระทรวงทรพัยากรธรรมชาติและส(cid:201)งิแวดลอ้ม,สาํนักงานปลดักระทรวงทรพัยากรธรรมชาติและส(cid:201)งิแวดลอ้ม,False,แผนงานพ(cid:202)นืฐานด้านการสร้างการเติบโตบนคุณภาพชีวิตท(cid:201)เีป็นมิตรต่อสง(cid:201)ิแวดลอ้ม,201) ี1 :  ระบบอาํนวยการและการบริหารจัดการทรพัยากรธรรมชาติและสง(cid:201)ิแวดลอ้ม,,งบดําเนินงาน,ค่าตอบแทนใช้สอยและวัสดุ,,,,,ค่าเบ(cid:202)ยีประชุมกรรมการ,2022,2613200.0,False
