,ITEM_ID,REF_DOC,REF_PAGE_NO,MINISTRY,BUDGETARY_UNIT,CROSS_FUNC?,BUDGET_PLAN,OUTPUT,PROJECT,CATEGORY_LV1,CATEGORY_LV2,CATEGORY_LV3,CATEGORY_LV4,CATEGORY_LV5,CATEGORY_LV6,ITEM_DESCRIPTION,FISCAL_YEAR,AMOUNT,OBLIGED?
2022.3.3(4).0,2022.3.3(4).0,2022.3.3(4),28,กระทรวงการอดุมศึกษาวิทยาศาสตร์วิจยัและนวตักรรม,มหาวิทยาลยัเทคโนโลยีสรุนารี,False,แผนงานบุคลากรภาครัฐ,,,งบเงินอุดหนุน,เงินอุดหนุนทวั(cid:201)ไป,,,,,ค่าจ้างพนกังานมหาวทิยาลยั,2022,971367200.0,False
2022.3.3(4).1,2022.3.3(4).1,2022.3.3(4),28,กระทรวงการอดุมศึกษาวิทยาศาสตร์วิจยัและนวตักรรม,มหาวิทยาลยัเทคโนโลยีสรุนารี,False,แผนงานบุคลากรภาครัฐ,,,งบเงินอุดหนุน,เงินอุดหนุนทวั(cid:201)ไป,,,,,ค่าใช้จ่ายดาํเนนิงาน,2022,22743600.0,False
2022.3.3(4).2,2022.3.3(4).2,2022.3.3(4),30,กระทรวงการอดุมศึกษาวิทยาศาสตร์วิจยัและนวตักรรม,มหาวิทยาลยัเทคโนโลยีสรุนารี,False,แผนงานพ(cid:202)นืฐานด้านการพัฒนาและเสรมิสร้างศกัยภาพทรพัยากรมนุษย์,201) ี1 :  ผูส้าํเรจ็การศึกษาด้านวิทยาศาสตรแ์ละเทคโนโลยี,,งบเงินอุดหนุน,เงินอุดหนุนทวั(cid:201)ไป,,,,,ค่าใช้จ่ายดาํเนนิงาน,2022,36615200.0,False
2022.3.3(4).3,2022.3.3(4).3,2022.3.3(4),30,กระทรวงการอดุมศึกษาวิทยาศาสตร์วิจยัและนวตักรรม,มหาวิทยาลยัเทคโนโลยีสรุนารี,False,แผนงานพ(cid:202)นืฐานด้านการพัฒนาและเสรมิสร้างศกัยภาพทรพัยากรมนุษย์,201) ี1 :  ผูส้าํเรจ็การศึกษาด้านวิทยาศาสตรแ์ละเทคโนโลยี,,งบเงินอุดหนุน,เงินอุดหนุนทวั(cid:201)ไป,,,,,ค่าครุภณัฑ์,2022,326044200.0,False
2022.3.3(4).4,2022.3.3(4).4,2022.3.3(4),30,กระทรวงการอดุมศึกษาวิทยาศาสตร์วิจยัและนวตักรรม,มหาวิทยาลยัเทคโนโลยีสรุนารี,False,แผนงานพ(cid:202)นืฐานด้านการพัฒนาและเสรมิสร้างศกัยภาพทรพัยากรมนุษย์,201) ี1 :  ผูส้าํเรจ็การศึกษาด้านวิทยาศาสตรแ์ละเทคโนโลยี,,,,,,,,ครุภณัฑค์อมพวิเตอรท์ม(cid:201)ีรีาคาต่อหน่วยตาํ(cid:201)กว่า  1 ล้านบาทรวม 8 รายการ (รวม 42 หน่วย),2022,2493100.0,False
2022.3.3(4).5,2022.3.3(4).5,2022.3.3(4),30,กระทรวงการอดุมศึกษาวิทยาศาสตร์วิจยัและนวตักรรม,มหาวิทยาลยัเทคโนโลยีสรุนารี,False,แผนงานพ(cid:202)นืฐานด้านการพัฒนาและเสรมิสร้างศกัยภาพทรพัยากรมนุษย์,201) ี1 :  ผูส้าํเรจ็การศึกษาด้านวิทยาศาสตรแ์ละเทคโนโลยี,,,,,,,,"ครุภณัฑก์ารศกึษาทม(cid:201)ีรีาคาต่อหน่วยตาํ(cid:201)กว่า  1 ล้านบาทรวม 341 รายการ (รวม 3,828 หน่วย)",2022,153254100.0,False
2022.3.3(4).6,2022.3.3(4).6,2022.3.3(4),30,กระทรวงการอดุมศึกษาวิทยาศาสตร์วิจยัและนวตักรรม,มหาวิทยาลยัเทคโนโลยีสรุนารี,False,แผนงานพ(cid:202)นืฐานด้านการพัฒนาและเสรมิสร้างศกัยภาพทรพัยากรมนุษย์,201) ี1 :  ผูส้าํเรจ็การศึกษาด้านวิทยาศาสตรแ์ละเทคโนโลยี,,,,,,,,เคร(cid:201)ืองกดัช(cid:202)ินงาน 3 แกนดว้ยระบบ CNC (ComputerNumerical Control) และระบบ Smart Lab เก็บขอ้มลูผูเ้ข้าใชบ้รกิารตาํบลสุรนารีอาํเภอเมอืงนครราชสมีาจงัหวดันครราชสมีา 1 ชุด,2022,7000000.0,False
2022.3.3(4).7,2022.3.3(4).7,2022.3.3(4),30,กระทรวงการอดุมศึกษาวิทยาศาสตร์วิจยัและนวตักรรม,มหาวิทยาลยัเทคโนโลยีสรุนารี,False,แผนงานพ(cid:202)นืฐานด้านการพัฒนาและเสรมิสร้างศกัยภาพทรพัยากรมนุษย์,201) ี1 :  ผูส้าํเรจ็การศึกษาด้านวิทยาศาสตรแ์ละเทคโนโลยี,,,,,,,,เคร(cid:201)ืองตดัเลเซอรแ์ผน่อะครลิคิ  และระบบ Smart Labเก็บขอ้มลูผูเ้ข้าใชบ้รกิารตาํบลสุรนารีอาํเภอเมอืงนครราชสมีาจงัหวดันครราชสมีา 4 ชุด,2022,4400000.0,False
2022.3.3(4).8,2022.3.3(4).8,2022.3.3(4),30,กระทรวงการอดุมศึกษาวิทยาศาสตร์วิจยัและนวตักรรม,มหาวิทยาลยัเทคโนโลยีสรุนารี,False,แผนงานพ(cid:202)นืฐานด้านการพัฒนาและเสรมิสร้างศกัยภาพทรพัยากรมนุษย์,201) ี1 :  ผูส้าํเรจ็การศึกษาด้านวิทยาศาสตรแ์ละเทคโนโลยี,,,,,,,,ชุดเคร(cid:201)ืองวดัความหยาบผวิของช(cid:202)ินงานตาํบลสุรนารีอาํเภอเมอืงนครราชสมีาจงัหวดันครราชสมีา 1 ชุด,2022,2113000.0,False
2022.3.3(4).9,2022.3.3(4).9,2022.3.3(4),30,กระทรวงการอดุมศึกษาวิทยาศาสตร์วิจยัและนวตักรรม,มหาวิทยาลยัเทคโนโลยีสรุนารี,False,แผนงานพ(cid:202)นืฐานด้านการพัฒนาและเสรมิสร้างศกัยภาพทรพัยากรมนุษย์,201) ี1 :  ผูส้าํเรจ็การศึกษาด้านวิทยาศาสตรแ์ละเทคโนโลยี,,,,,,,,"ชุดฝึกปฏบิตักิารเรยีนรูส้าํหรบัการสงัเคราะหแ์ละจาํลองวงจร RF,Microwave และการวเิคราะหแ์มเ่หลก็ไฟฟ้าความถส(cid:201)ีูงพรอ้มอุปกรณ์ประกอบตาํบลสุรนารีอาํเภอเมอืงนครราชสมีาจงัหวดันครราชสมีา 1 ชุด",2022,2000000.0,False
2022.3.3(4).10,2022.3.3(4).10,2022.3.3(4),30,กระทรวงการอดุมศึกษาวิทยาศาสตร์วิจยัและนวตักรรม,มหาวิทยาลยัเทคโนโลยีสรุนารี,False,แผนงานพ(cid:202)นืฐานด้านการพัฒนาและเสรมิสร้างศกัยภาพทรพัยากรมนุษย์,201) ี1 :  ผูส้าํเรจ็การศึกษาด้านวิทยาศาสตรแ์ละเทคโนโลยี,,,,,,,,เคร(cid:201)ืองวดัสีพรอ้มอุปกรณ์ประกอบตาํบลสุรนารีอาํเภอเมอืงนครราชสมีาจงัหวดันครราชสมีา 1 ชุด,2022,1200000.0,False
2022.3.3(4).11,2022.3.3(4).11,2022.3.3(4),30,กระทรวงการอดุมศึกษาวิทยาศาสตร์วิจยัและนวตักรรม,มหาวิทยาลยัเทคโนโลยีสรุนารี,False,แผนงานพ(cid:202)นืฐานด้านการพัฒนาและเสรมิสร้างศกัยภาพทรพัยากรมนุษย์,201) ี1 :  ผูส้าํเรจ็การศึกษาด้านวิทยาศาสตรแ์ละเทคโนโลยี,,,,,,,,ชุดฝึกปฏบิตักิารการบริหารจัดการคลังสนิค้าอตัโนมตั  ิตาํบลสุรนารีอาํเภอเมอืงนครราชสมีาจงัหวดันครราชสมีา 1 ชุด,2022,1000000.0,False
2022.3.3(4).12,2022.3.3(4).12,2022.3.3(4),30,กระทรวงการอดุมศึกษาวิทยาศาสตร์วิจยัและนวตักรรม,มหาวิทยาลยัเทคโนโลยีสรุนารี,False,แผนงานพ(cid:202)นืฐานด้านการพัฒนาและเสรมิสร้างศกัยภาพทรพัยากรมนุษย์,201) ี1 :  ผูส้าํเรจ็การศึกษาด้านวิทยาศาสตรแ์ละเทคโนโลยี,,,,,,,,เคร(cid:201)ืองถ่ายภาพและวเิคราะหส์ารพนัธุกรรมและโปรตนีจากเจลและเมมเบรนโดยใชเ้คมลิูมเินสเซนซ์ตาํบลสุรนารีอาํเภอเมอืงนครราชสมีาจงัหวดันครราชสมีา 1 ชุด,2022,1700000.0,False
2022.3.3(4).13,2022.3.3(4).13,2022.3.3(4),30,กระทรวงการอดุมศึกษาวิทยาศาสตร์วิจยัและนวตักรรม,มหาวิทยาลยัเทคโนโลยีสรุนารี,False,แผนงานพ(cid:202)นืฐานด้านการพัฒนาและเสรมิสร้างศกัยภาพทรพัยากรมนุษย์,201) ี1 :  ผูส้าํเรจ็การศึกษาด้านวิทยาศาสตรแ์ละเทคโนโลยี,,,,,,,,เคร(cid:201)ืองตรวจสอบแบบไมท่าํลายดว้ยรงัสเีอ็กซ์แบบพกพาตาํบลสุรนารีอาํเภอเมอืงนครราชสมีาจงัหวดันครราชสมีา 1 ชุด,2022,1000000.0,False
2022.3.3(4).14,2022.3.3(4).14,2022.3.3(4),30,กระทรวงการอดุมศึกษาวิทยาศาสตร์วิจยัและนวตักรรม,มหาวิทยาลยัเทคโนโลยีสรุนารี,False,แผนงานพ(cid:202)นืฐานด้านการพัฒนาและเสรมิสร้างศกัยภาพทรพัยากรมนุษย์,201) ี1 :  ผูส้าํเรจ็การศึกษาด้านวิทยาศาสตรแ์ละเทคโนโลยี,,,,,,,,เคร(cid:201)ืองพมิพส์ามมติขิ (cid:202)นึช(cid:202)ินงานวสัดผุสมชนดิเสน้ใยต่อเน(cid:201)อืง(ขนาดเลก็ ) ตาํบลสุรนารีอาํเภอเมอืงนครราชสมีาจงัหวดันครราชสมีา 1 ชุด,2022,1400000.0,False
2022.3.3(4).15,2022.3.3(4).15,2022.3.3(4),31,กระทรวงการอดุมศึกษาวิทยาศาสตร์วิจยัและนวตักรรม,มหาวิทยาลยัเทคโนโลยีสรุนารี,False,แผนงานพ(cid:202)นืฐานด้านการพัฒนาและเสรมิสร้างศกัยภาพทรพัยากรมนุษย์,201) ี1 :  ผูส้าํเรจ็การศึกษาด้านวิทยาศาสตรแ์ละเทคโนโลยี,,,,,,,,เคร(cid:201)ืองตรวจวเิคราะหจ์ลุนิทรยีใ์นนาํ(cid:202)ระบบอตัโนมตั  ิพรอ้มชุดประมวลผลและอุปกรณ์ประกอบตาํบลสุรนารีอาํเภอเมอืงนครราชสมีาจงัหวดันครราชสมีา 1 ชุด,2022,1500000.0,False
2022.3.3(4).16,2022.3.3(4).16,2022.3.3(4),31,กระทรวงการอดุมศึกษาวิทยาศาสตร์วิจยัและนวตักรรม,มหาวิทยาลยัเทคโนโลยีสรุนารี,False,แผนงานพ(cid:202)นืฐานด้านการพัฒนาและเสรมิสร้างศกัยภาพทรพัยากรมนุษย์,201) ี1 :  ผูส้าํเรจ็การศึกษาด้านวิทยาศาสตรแ์ละเทคโนโลยี,,,,,,,,เคร(cid:201)ืองเตรยีมตวัอย่างอตัโนมตั  ิตาํบลสุรนารีอาํเภอเมอืงนครราชสมีาจงัหวดันครราชสมีา 1 ชุด,2022,1632000.0,False
