,ITEM_ID,REF_DOC,REF_PAGE_NO,MINISTRY,BUDGETARY_UNIT,CROSS_FUNC?,BUDGET_PLAN,OUTPUT,PROJECT,CATEGORY_LV1,CATEGORY_LV2,CATEGORY_LV3,CATEGORY_LV4,CATEGORY_LV5,CATEGORY_LV6,ITEM_DESCRIPTION,FISCAL_YEAR,AMOUNT,OBLIGED?
2022.3.10.0,2022.3.10.0,2022.3.10,22,กระทรวงศึกษาธิการ,สาํนักงานปลดักระทรวงศึกษาธิการ,False,แผนงานบุคลากรภาครัฐ,,,งบบุคลากร,เงินเดือนและค่าจ้างประจำํ,,,,,เงินเดือน,2022,3652217000.0,False
2022.3.10.1,2022.3.10.1,2022.3.10,22,กระทรวงศึกษาธิการ,สาํนักงานปลดักระทรวงศึกษาธิการ,False,แผนงานบุคลากรภาครัฐ,,,งบบุคลากร,เงินเดือนและค่าจ้างประจำํ,,,,,ค่าจ้างประจำํ,2022,178952300.0,False
2022.3.10.2,2022.3.10.2,2022.3.10,22,กระทรวงศึกษาธิการ,สาํนักงานปลดักระทรวงศึกษาธิการ,False,แผนงานบุคลากรภาครัฐ,,,งบบุคลากร,,,,,,ค่าจ้างชวั(cid:201) คราว,2022,2358600.0,False
2022.3.10.3,2022.3.10.3,2022.3.10,22,กระทรวงศึกษาธิการ,สาํนักงานปลดักระทรวงศึกษาธิการ,False,แผนงานบุคลากรภาครัฐ,,,งบบุคลากร,,,,,,ค่าตอบแทนพนกังานราชการ,2022,4452205500.0,False
2022.3.10.4,2022.3.10.4,2022.3.10,22,กระทรวงศึกษาธิการ,สาํนักงานปลดักระทรวงศึกษาธิการ,False,แผนงานบุคลากรภาครัฐ,,,งบดาํเนินงาน,ค่าตอบแทนใช้สอยและวัสดุ,,,,,ค่าเช่าบ้าน,2022,117227700.0,False
2022.3.10.5,2022.3.10.5,2022.3.10,22,กระทรวงศึกษาธิการ,สาํนักงานปลดักระทรวงศึกษาธิการ,False,แผนงานบุคลากรภาครัฐ,,,งบดาํเนินงาน,ค่าตอบแทนใช้สอยและวัสดุ,,,,,เงินค่าตอบแทนพิเศษของข้าราชการผูไ้ดร้บัเงินเดือนถึงขนั(cid:202) สูงของอนัดบั,2022,4559200.0,False
2022.3.10.6,2022.3.10.6,2022.3.10,22,กระทรวงศึกษาธิการ,สาํนักงานปลดักระทรวงศึกษาธิการ,False,แผนงานบุคลากรภาครัฐ,,,งบดาํเนินงาน,ค่าตอบแทนใช้สอยและวัสดุ,,,,,เงินค่าตอบแทนพิเศษของลูกจ้างประจาํผูไ้ดร้บัค่าจ้างขนั(cid:202) สูงของตาํแหน่ง,2022,775100.0,False
2022.3.10.7,2022.3.10.7,2022.3.10,22,กระทรวงศึกษาธิการ,สาํนักงานปลดักระทรวงศึกษาธิการ,False,แผนงานบุคลากรภาครัฐ,,,งบดาํเนินงาน,ค่าตอบแทนใช้สอยและวัสดุ,,,,,เงินพิเศษทจ(cid:201)ี่ายใหแ้ก่ลูกจ้างของสาํนกัราชการในต่างประเทศตามประเพณีทอ้งถน(cid:201)ิ,2022,318900.0,False
2022.3.10.8,2022.3.10.8,2022.3.10,22,กระทรวงศึกษาธิการ,สาํนักงานปลดักระทรวงศึกษาธิการ,False,แผนงานบุคลากรภาครัฐ,,,งบดาํเนินงาน,ค่าตอบแทนใช้สอยและวัสดุ,,,,,เงินค่าตอบแทนพิเศษรายเดือนสาํหรบัผูป้ฏบิตังิานในเขตพ(cid:202)นืทพ(cid:201)ีเิศษ,2022,46722000.0,False
2022.3.10.9,2022.3.10.9,2022.3.10,22,กระทรวงศึกษาธิการ,สาํนักงานปลดักระทรวงศึกษาธิการ,False,แผนงานบุคลากรภาครัฐ,,,งบดาํเนินงาน,ค่าตอบแทนใช้สอยและวัสดุ,,,,,เงินพัฒนาคณุภาพการศกึษาในพ(cid:202)นืทจ(cid:201)ีงัหวดัชายแดนภาคใต้,2022,26772000.0,False
2022.3.10.10,2022.3.10.10,2022.3.10,22,กระทรวงศึกษาธิการ,สาํนักงานปลดักระทรวงศึกษาธิการ,False,แผนงานบุคลากรภาครัฐ,,,งบดาํเนินงาน,ค่าตอบแทนใช้สอยและวัสดุ,,,,,เงินสมทบกองทนุประกนัสังคม,2022,134043100.0,False
