,ITEM_ID,REF_DOC,REF_PAGE_NO,MINISTRY,BUDGETARY_UNIT,CROSS_FUNC?,BUDGET_PLAN,OUTPUT,PROJECT,CATEGORY_LV1,CATEGORY_LV2,CATEGORY_LV3,CATEGORY_LV4,CATEGORY_LV5,CATEGORY_LV6,ITEM_DESCRIPTION,FISCAL_YEAR,AMOUNT,OBLIGED?
2022.3.17.0,2022.3.17.0,2022.3.17,11,หน่วยงานอน(cid:201)ืของรฐั,สาํนักงานคณะกรรมการการแข่งขันทางการค้า,False,แผนงานบุคลากรภาครัฐ,,,งบเงินอุดหนุน,เงินอุดหนุนทวั(cid:201)ไป,,,,,ค่าใช้จ่ายบุคลากร,2022,78459000.0,False
2022.3.17.1,2022.3.17.1,2022.3.17,14,หน่วยงานอน(cid:201)ืของรฐั,สาํนักงานคณะกรรมการการแข่งขันทางการค้า,False,แผนงานพ(cid:202)นืฐานด้านการปรบัสมดุลและพัฒนาระบบการบริหารจัดการภาครัฐ,201) ี1 :  การบริหารจัดการองคก์รและพัฒนาการกาํกบัดูแลการแข่งขัน  ทางการค้า,,งบเงินอุดหนุน,เงินอุดหนุนทวั(cid:201)ไป,,,,,ค่าใช้จ่ายดาํเนนิงาน,2022,73470700.0,False
2022.3.17.2,2022.3.17.2,2022.3.17,14,หน่วยงานอน(cid:201)ืของรฐั,สาํนักงานคณะกรรมการการแข่งขันทางการค้า,False,แผนงานพ(cid:202)นืฐานด้านการปรบัสมดุลและพัฒนาระบบการบริหารจัดการภาครัฐ,201) ี1 :  การบริหารจัดการองคก์รและพัฒนาการกาํกบัดูแลการแข่งขัน  ทางการค้า,,งบเงินอุดหนุน,เงินอุดหนุนทวั(cid:201)ไป,,,,,ค่าใช้จ่ายลงทุน,2022,2256500.0,False
2022.3.17.3,2022.3.17.3,2022.3.17,14,หน่วยงานอน(cid:201)ืของรฐั,สาํนักงานคณะกรรมการการแข่งขันทางการค้า,False,แผนงานพ(cid:202)นืฐานด้านการปรบัสมดุลและพัฒนาระบบการบริหารจัดการภาครัฐ,201) ี1 :  การบริหารจัดการองคก์รและพัฒนาการกาํกบัดูแลการแข่งขัน  ทางการค้า,,ค่าครุภณัฑ์,,,,,,โครงการเพม(cid:201)ิประสทิธิภาพระบบสารสนเทศด้านกาํกบัดูแลการแข่งขันทางการค้าสาํนกังานคณะกรรมการการแข่งขันทางการค้าแขวงทงุ่สองหอ้งเขตหลกัส (cid:201)ีกรุงเทพมหานคร 1 ระบบ,2022,2256500.0,False
2022.3.17.4,2022.3.17.4,2022.3.17,14,หน่วยงานอน(cid:201)ืของรฐั,สาํนักงานคณะกรรมการการแข่งขันทางการค้า,False,แผนงานพ(cid:202)นืฐานด้านการปรบัสมดุลและพัฒนาระบบการบริหารจัดการภาครัฐ,201) ี1 :  การบริหารจัดการองคก์รและพัฒนาการกาํกบัดูแลการแข่งขัน  ทางการค้า,,ค่าครุภณัฑ์,,,,,,งบรายจ่ายอ(cid:201)นื,2022,4710600.0,False
2022.3.17.5,2022.3.17.5,2022.3.17,14,หน่วยงานอน(cid:201)ืของรฐั,สาํนักงานคณะกรรมการการแข่งขันทางการค้า,False,แผนงานพ(cid:202)นืฐานด้านการปรบัสมดุลและพัฒนาระบบการบริหารจัดการภาครัฐ,201) ี1 :  การบริหารจัดการองคก์รและพัฒนาการกาํกบัดูแลการแข่งขัน  ทางการค้า,,,,,,,,ค่าใช้จ่ายการดาํเนนิงานเป็นค่าจ้างทป(cid:201)ีรกึษา,2022,4710600.0,False
2022.3.17.6,2022.3.17.6,2022.3.17,16,หน่วยงานอน(cid:201)ืของรฐั,สาํนักงานคณะกรรมการการแข่งขันทางการค้า,False,แผนงานยุทธศาสตร์พัฒนากฎหมายและกระบวนการยติุธรรม,201) ี1 :  โครงการกาํกบัดูแลและเสรมิสร้างการแข่งขันทางการค้าท(cid:201)เีสรแีละเป็นธรรม,,งบเงินอุดหนุน,เงินอุดหนุนทวั(cid:201)ไป,,,,,ค่าใช้จ่ายดาํเนนิงาน,2022,1598800.0,False
2022.3.17.7,2022.3.17.7,2022.3.17,16,หน่วยงานอน(cid:201)ืของรฐั,สาํนักงานคณะกรรมการการแข่งขันทางการค้า,False,แผนงานยุทธศาสตร์พัฒนากฎหมายและกระบวนการยติุธรรม,201) ี1 :  โครงการกาํกบัดูแลและเสรมิสร้างการแข่งขันทางการค้าท(cid:201)เีสรแีละเป็นธรรม,,งบเงินอุดหนุน,เงินอุดหนุนทวั(cid:201)ไป,,,,,ค่าครุภณัฑ์,2022,3000000.0,False
2022.3.17.8,2022.3.17.8,2022.3.17,16,หน่วยงานอน(cid:201)ืของรฐั,สาํนักงานคณะกรรมการการแข่งขันทางการค้า,False,แผนงานยุทธศาสตร์พัฒนากฎหมายและกระบวนการยติุธรรม,201) ี1 :  โครงการกาํกบัดูแลและเสรมิสร้างการแข่งขันทางการค้าท(cid:201)เีสรแีละเป็นธรรม,,,,,,,,โครงการจดัหาเคร(cid:201)ืองมอืและโปรแกรมสาํหรบัตรวจวเิคราะหแ์ละพสิูจน์พยานหลกัฐานอเิลก็ทรอนกิส์สาํนกังานคณะกรรมการการแข่งขันทางการค้าแขวงทงุ่สองหอ้งเขตหลกัส (cid:201)ีกรุงเทพมหานคร 1 ระบบ,2022,3000000.0,False
2022.3.17.9,2022.3.17.9,2022.3.17,16,หน่วยงานอน(cid:201)ืของรฐั,สาํนักงานคณะกรรมการการแข่งขันทางการค้า,False,แผนงานยุทธศาสตร์พัฒนากฎหมายและกระบวนการยติุธรรม,201) ี1 :  โครงการกาํกบัดูแลและเสรมิสร้างการแข่งขันทางการค้าท(cid:201)เีสรแีละเป็นธรรม,,,,,,,,งบรายจ่ายอ(cid:201)นื,2022,3081100.0,False
