,ITEM_ID,REF_DOC,REF_PAGE_NO,MINISTRY,BUDGETARY_UNIT,CROSS_FUNC?,BUDGET_PLAN,OUTPUT,PROJECT,CATEGORY_LV1,CATEGORY_LV2,CATEGORY_LV3,CATEGORY_LV4,CATEGORY_LV5,CATEGORY_LV6,ITEM_DESCRIPTION,FISCAL_YEAR,AMOUNT,OBLIGED?
2022.3.3(1).0,2022.3.3(1).0,2022.3.3(1),41,กระทรวงการอดุมศึกษาวิทยาศาสตร์วิจยัและนวตักรรม,สาํนักงานปลดักระทรวงการอดุมศึกษาวิทยาศาสตร์วิจยั  และนวตักรรม,False,แผนงานบุคลากรภาครัฐ,,,งบบุคลากร,เงินเดือนและค่าจ้างประจำํ,,,,,เงินเดือน,2022,287171600.0,False
2022.3.3(1).1,2022.3.3(1).1,2022.3.3(1),41,กระทรวงการอดุมศึกษาวิทยาศาสตร์วิจยัและนวตักรรม,สาํนักงานปลดักระทรวงการอดุมศึกษาวิทยาศาสตร์วิจยั  และนวตักรรม,False,แผนงานบุคลากรภาครัฐ,,,งบบุคลากร,เงินเดือนและค่าจ้างประจำํ,,,,,ค่าจ้างประจำํ,2022,20621000.0,False
2022.3.3(1).2,2022.3.3(1).2,2022.3.3(1),41,กระทรวงการอดุมศึกษาวิทยาศาสตร์วิจยัและนวตักรรม,สาํนักงานปลดักระทรวงการอดุมศึกษาวิทยาศาสตร์วิจยั  และนวตักรรม,False,แผนงานบุคลากรภาครัฐ,,,งบบุคลากร,,,,,,ค่าจ้างชวั(cid:201) คราว,2022,3627000.0,False
2022.3.3(1).3,2022.3.3(1).3,2022.3.3(1),41,กระทรวงการอดุมศึกษาวิทยาศาสตร์วิจยัและนวตักรรม,สาํนักงานปลดักระทรวงการอดุมศึกษาวิทยาศาสตร์วิจยั  และนวตักรรม,False,แผนงานบุคลากรภาครัฐ,,,งบบุคลากร,,,,,,ค่าตอบแทนพนกังานราชการ,2022,12613800.0,False
2022.3.3(1).4,2022.3.3(1).4,2022.3.3(1),41,กระทรวงการอดุมศึกษาวิทยาศาสตร์วิจยัและนวตักรรม,สาํนักงานปลดักระทรวงการอดุมศึกษาวิทยาศาสตร์วิจยั  และนวตักรรม,False,แผนงานบุคลากรภาครัฐ,,,งบดาํเนินงาน,ค่าตอบแทนใช้สอยและวัสดุ,,,,,ค่าเช่าบ้าน,2022,6053800.0,False
2022.3.3(1).5,2022.3.3(1).5,2022.3.3(1),41,กระทรวงการอดุมศึกษาวิทยาศาสตร์วิจยัและนวตักรรม,สาํนักงานปลดักระทรวงการอดุมศึกษาวิทยาศาสตร์วิจยั  และนวตักรรม,False,แผนงานบุคลากรภาครัฐ,,,งบดาํเนินงาน,ค่าตอบแทนใช้สอยและวัสดุ,,,,,เงินอ(cid:201)นืๆทก(cid:201)ีฎหมายกาํหนดใหจ้่ายควบกบัค่าจ้างชวั(cid:201) คราวทป(cid:201)ีฏบิตังิานในต่างประเทศ,2022,747000.0,False
2022.3.3(1).6,2022.3.3(1).6,2022.3.3(1),41,กระทรวงการอดุมศึกษาวิทยาศาสตร์วิจยัและนวตักรรม,สาํนักงานปลดักระทรวงการอดุมศึกษาวิทยาศาสตร์วิจยั  และนวตักรรม,False,แผนงานบุคลากรภาครัฐ,,,งบดาํเนินงาน,ค่าตอบแทนใช้สอยและวัสดุ,,,,,ค่าตอบแทนพิเศษข้าราชการและลูกจ้างทไ(cid:201)ีดร้บัเงินเดือนเต็มขนั(cid:202),2022,138700.0,False
2022.3.3(1).7,2022.3.3(1).7,2022.3.3(1),41,กระทรวงการอดุมศึกษาวิทยาศาสตร์วิจยัและนวตักรรม,สาํนักงานปลดักระทรวงการอดุมศึกษาวิทยาศาสตร์วิจยั  และนวตักรรม,False,แผนงานบุคลากรภาครัฐ,,,งบดาํเนินงาน,ค่าตอบแทนใช้สอยและวัสดุ,,,,,เงินสมทบกองทนุประกนัสังคม,2022,398300.0,False
2022.3.3(1).8,2022.3.3(1).8,2022.3.3(1),41,กระทรวงการอดุมศึกษาวิทยาศาสตร์วิจยัและนวตักรรม,สาํนักงานปลดักระทรวงการอดุมศึกษาวิทยาศาสตร์วิจยั  และนวตักรรม,False,แผนงานบุคลากรภาครัฐ,,,งบดาํเนินงาน,ค่าตอบแทนใช้สอยและวัสดุ,,,,,เงินสมทบกองทนุเงินทดแทน,2022,21100.0,False
2022.3.3(1).9,2022.3.3(1).9,2022.3.3(1),41,กระทรวงการอดุมศึกษาวิทยาศาสตร์วิจยัและนวตักรรม,สาํนักงานปลดักระทรวงการอดุมศึกษาวิทยาศาสตร์วิจยั  และนวตักรรม,False,แผนงานบุคลากรภาครัฐ,,,งบเงินอุดหนุน,เงินอุดหนุนทวั(cid:201)ไป,,,,,ค่าใช้จ่ายบุคลากร,2022,413609500.0,False
