,ITEM_ID,REF_DOC,REF_PAGE_NO,MINISTRY,BUDGETARY_UNIT,CROSS_FUNC?,BUDGET_PLAN,OUTPUT,PROJECT,CATEGORY_LV1,CATEGORY_LV2,CATEGORY_LV3,CATEGORY_LV4,CATEGORY_LV5,CATEGORY_LV6,ITEM_DESCRIPTION,FISCAL_YEAR,AMOUNT,OBLIGED?
2022.3.4.0,2022.3.4.0,2022.3.4,40,กระทรวงเกษตรและสหกรณ์,กรมการข้าว,False,แผนงานบุคลากรภาครัฐ,,,งบบุคลากร,เงินเดือนและค่าจ้างประจำ,,,,,เงินเดือน,2022,352105600.0,False
2022.3.4.1,2022.3.4.1,2022.3.4,40,กระทรวงเกษตรและสหกรณ์,กรมการข้าว,False,แผนงานบุคลากรภาครัฐ,,,งบบุคลากร,เงินเดือนและค่าจ้างประจำ,,,,,ค่าจ้างประจำ,2022,150977000.0,False
2022.3.4.2,2022.3.4.2,2022.3.4,40,กระทรวงเกษตรและสหกรณ์,กรมการข้าว,False,แผนงานบุคลากรภาครัฐ,,,งบบุคลากร,,,,,,ค่าตอบแทนพนกังานราชการ,2022,189284200.0,False
2022.3.4.3,2022.3.4.3,2022.3.4,40,กระทรวงเกษตรและสหกรณ์,กรมการข้าว,False,แผนงานบุคลากรภาครัฐ,,,งบดำเนินงาน,ค่าตอบแทนใช้สอยและวัสดุ,,,,,ค่าเช่าบ้าน,2022,1320000.0,False
2022.3.4.4,2022.3.4.4,2022.3.4,40,กระทรวงเกษตรและสหกรณ์,กรมการข้าว,False,แผนงานบุคลากรภาครัฐ,,,งบดำเนินงาน,ค่าตอบแทนใช้สอยและวัสดุ,,,,,ค่าตอบแทนพิเศษข้าราชการและลูกจ้างประจาทไ่ีดร้บัเงินเดือนเต็มขั้น,2022,788700.0,False
2022.3.4.5,2022.3.4.5,2022.3.4,40,กระทรวงเกษตรและสหกรณ์,กรมการข้าว,False,แผนงานบุคลากรภาครัฐ,,,งบดำเนินงาน,ค่าตอบแทนใช้สอยและวัสดุ,,,,,ค่าตอบแทนพิเศษรายเดือนใหแ้ก่เจ้าหน้าทผ่ีูป้ฏบิตังิานในพื้นทจ่ีงัหวดัชายแดนภาคใต้,2022,882000.0,False
2022.3.4.6,2022.3.4.6,2022.3.4,40,กระทรวงเกษตรและสหกรณ์,กรมการข้าว,False,แผนงานบุคลากรภาครัฐ,,,งบดำเนินงาน,ค่าตอบแทนใช้สอยและวัสดุ,,,,,เงินสมทบกองทนุประกนัสังคม,2022,7743000.0,False
2022.3.4.7,2022.3.4.7,2022.3.4,40,กระทรวงเกษตรและสหกรณ์,กรมการข้าว,False,แผนงานบุคลากรภาครัฐ,,,งบดำเนินงาน,ค่าตอบแทนใช้สอยและวัสดุ,,,,,เงินสมทบกองทนุเงินทดแทน,2022,413000.0,False
2022.3.4.8,2022.3.4.8,2022.3.4,42,กระทรวงเกษตรและสหกรณ์,กรมการข้าว,False,แผนงานพื้นฐานด้านการสร้างความสามารถในการแข่งขัน,การเพ่มิศกัยภาพการวิจยัและพัฒนาข้าว,,งบดำเนินงาน,ค่าตอบแทนใช้สอยและวัสดุ,,,,,ค่าเบี้ยเล้ยีงค่าเช่าทพ่ีกัและค่าพาหนะ,2022,581200.0,False
2022.3.4.9,2022.3.4.9,2022.3.4,42,กระทรวงเกษตรและสหกรณ์,กรมการข้าว,False,แผนงานพื้นฐานด้านการสร้างความสามารถในการแข่งขัน,การเพ่มิศกัยภาพการวิจยัและพัฒนาข้าว,,งบดำเนินงาน,ค่าตอบแทนใช้สอยและวัสดุ,,,,,ค่าซ่อมแซมครุภณัฑ์,2022,2001400.0,False
2022.3.4.10,2022.3.4.10,2022.3.4,42,กระทรวงเกษตรและสหกรณ์,กรมการข้าว,False,แผนงานพื้นฐานด้านการสร้างความสามารถในการแข่งขัน,การเพ่มิศกัยภาพการวิจยัและพัฒนาข้าว,,งบดำเนินงาน,ค่าตอบแทนใช้สอยและวัสดุ,,,,,ค่าซ่อมแซมยานพาหนะและขนส่ง,2022,937500.0,False
2022.3.4.11,2022.3.4.11,2022.3.4,42,กระทรวงเกษตรและสหกรณ์,กรมการข้าว,False,แผนงานพื้นฐานด้านการสร้างความสามารถในการแข่งขัน,การเพ่มิศกัยภาพการวิจยัและพัฒนาข้าว,,งบดำเนินงาน,ค่าตอบแทนใช้สอยและวัสดุ,,,,,ค่าจ้างเหมาบริการ,2022,2313800.0,False
2022.3.4.12,2022.3.4.12,2022.3.4,42,กระทรวงเกษตรและสหกรณ์,กรมการข้าว,False,แผนงานพื้นฐานด้านการสร้างความสามารถในการแข่งขัน,การเพ่มิศกัยภาพการวิจยัและพัฒนาข้าว,,งบดำเนินงาน,ค่าตอบแทนใช้สอยและวัสดุ,,,,,วสัดสุานกังาน,2022,368000.0,False
2022.3.4.13,2022.3.4.13,2022.3.4,42,กระทรวงเกษตรและสหกรณ์,กรมการข้าว,False,แผนงานพื้นฐานด้านการสร้างความสามารถในการแข่งขัน,การเพ่มิศกัยภาพการวิจยัและพัฒนาข้าว,,งบดำเนินงาน,ค่าตอบแทนใช้สอยและวัสดุ,,,,,วสัดเุช้ือเพลงิและหล่อลน่ื,2022,839500.0,False
2022.3.4.14,2022.3.4.14,2022.3.4,42,กระทรวงเกษตรและสหกรณ์,กรมการข้าว,False,แผนงานพื้นฐานด้านการสร้างความสามารถในการแข่งขัน,การเพ่มิศกัยภาพการวิจยัและพัฒนาข้าว,,งบดำเนินงาน,ค่าตอบแทนใช้สอยและวัสดุ,,,,,วสัดวุทิยาศาสตรห์รอืการแพทย์,2022,900000.0,False
2022.3.4.15,2022.3.4.15,2022.3.4,42,กระทรวงเกษตรและสหกรณ์,กรมการข้าว,False,แผนงานพื้นฐานด้านการสร้างความสามารถในการแข่งขัน,การเพ่มิศกัยภาพการวิจยัและพัฒนาข้าว,,งบดำเนินงาน,ค่าตอบแทนใช้สอยและวัสดุ,,,,,วสัดกุารเกษตร,2022,1488000.0,False
2022.3.4.16,2022.3.4.16,2022.3.4,42,กระทรวงเกษตรและสหกรณ์,กรมการข้าว,False,แผนงานพื้นฐานด้านการสร้างความสามารถในการแข่งขัน,การเพ่มิศกัยภาพการวิจยัและพัฒนาข้าว,,งบลงทุน,ค่าครุภณัฑ์ท่ดีินและส่ิงก่อสร้าง,ค่าครุภณัฑ์,ครุภณัฑย์านพาหนะและขนส่ง,,,ครุภณัฑย์านพาหนะและขนส่งทม่ีรีาคาต่อหน่วยต่ากว่า  1 ล้านบาท,2022,5977800.0,False
2022.3.4.17,2022.3.4.17,2022.3.4,42,กระทรวงเกษตรและสหกรณ์,กรมการข้าว,False,แผนงานพื้นฐานด้านการสร้างความสามารถในการแข่งขัน,การเพ่มิศกัยภาพการวิจยัและพัฒนาข้าว,,งบลงทุน,ค่าครุภณัฑ์ท่ดีินและส่ิงก่อสร้าง,ค่าครุภณัฑ์,ครุภณัฑย์านพาหนะและขนส่ง,,,"รถบรรทกุ  (ดเีซล) ขนาด 1 ตนั  ปรมิาตรกระบอกสูบไมต่่ากว่า  2,400 ซซี  ีหรอืกาลงัเคร่ืองยนตส์ูงสุดไมต่่ากว่า  110 กิโลวตัต์ขบัเคลอื่น 4 ลอ้แบบดบัเบ้ลิแคบ็  ตาบลในเมอืงอาเภอเมอืงขอนแก่นจงัหวดัขอนแก่น 1 คนั",2022,1025000.0,False
2022.3.4.18,2022.3.4.18,2022.3.4,42,กระทรวงเกษตรและสหกรณ์,กรมการข้าว,False,แผนงานพื้นฐานด้านการสร้างความสามารถในการแข่งขัน,การเพ่มิศกัยภาพการวิจยัและพัฒนาข้าว,,งบลงทุน,ค่าครุภณัฑ์ท่ดีินและส่ิงก่อสร้าง,ค่าครุภณัฑ์,ครุภณัฑย์านพาหนะและขนส่ง,,,"รถโดยสารขนาด 12 ที่นั่ง (ดเีซล) ปรมิาตรกระบอกสูบไมต่่ากว่า  2,400 ซซีีหรอืกาลงัเคร่ืองยนตส์ูงสุดไมต่่ากว่า  90 กิโลวตัต์ตาบลในเมอืงอาเภอเมอืงขอนแก่นจงัหวดัขอนแก่น 1 คนั",2022,1358000.0,False
2022.3.4.19,2022.3.4.19,2022.3.4,42,กระทรวงเกษตรและสหกรณ์,กรมการข้าว,False,แผนงานพื้นฐานด้านการสร้างความสามารถในการแข่งขัน,การเพ่มิศกัยภาพการวิจยัและพัฒนาข้าว,,งบลงทุน,ค่าครุภณัฑ์ท่ดีินและส่ิงก่อสร้าง,ค่าครุภณัฑ์,ครุภณัฑย์านพาหนะและขนส่ง,,,"รถบรรทกุ  (ดเีซล) ขนาด 1 ตนั  ปรมิาตรกระบอกสูบไมต่่ากว่า  2,400 ซซี  ีหรอืกาลงัเคร่ืองยนตส์ูงสุดไมต่่ากว่า  110 กิโลวตัต์ขบัเคลอื่น 4 ลอ้แบบดบัเบ้ลิแคบ็  พรอ้มหลงัคาไฟเบอรก์ลาสตาบลดอนฉิมพลีอาเภอบางน้าเปร้ียวจงัหวดัฉะเชิงเทรา 1 คนั",2022,1057400.0,False
2022.3.4.20,2022.3.4.20,2022.3.4,42,กระทรวงเกษตรและสหกรณ์,กรมการข้าว,False,แผนงานพื้นฐานด้านการสร้างความสามารถในการแข่งขัน,การเพ่มิศกัยภาพการวิจยัและพัฒนาข้าว,,งบลงทุน,ค่าครุภณัฑ์ท่ดีินและส่ิงก่อสร้าง,ค่าครุภณัฑ์,ครุภณัฑย์านพาหนะและขนส่ง,,,"รถบรรทกุ  (ดเีซล) ขนาด 1 ตนั  ปรมิาตรกระบอกสูบไมต่่ากว่า  2,400 ซซี  ีหรอืกาลงัเคร่ืองยนตส์ูงสุดไมต่่ากว่า  110 กิโลวตัต์ขบัเคลอื่น 4 ลอ้แบบดบัเบ้ลิแคบ็  พรอ้มหลงัคาไฟเบอรก์ลาสตาบลเขาท่าพระอาเภอเมอืงชยันาทจงัหวดัชยันาท 1 คนั",2022,1057400.0,False
2022.3.4.21,2022.3.4.21,2022.3.4,42,กระทรวงเกษตรและสหกรณ์,กรมการข้าว,False,แผนงานพื้นฐานด้านการสร้างความสามารถในการแข่งขัน,การเพ่มิศกัยภาพการวิจยัและพัฒนาข้าว,,งบลงทุน,ค่าครุภณัฑ์ท่ดีินและส่ิงก่อสร้าง,ค่าครุภณัฑ์,ครุภณัฑย์านพาหนะและขนส่ง,,,"รถบรรทกุ (ดเีซล) ขนาด 4 ตนั  6 ลอ้  ปรมิาตรกระบอกสูบไมต่่ากว่า4,000 ซซี  ีหรอืกาลงัเคร่ืองยนตส์ูงสุดไมต่่ากว่า  105 กิโลวตัต์ตาบลเขาท่าพระอาเภอเมอืงชยันาทจงัหวดัชยันาท 1 คนั",2022,1375000.0,False
