,ITEM_ID,REF_DOC,REF_PAGE_NO,MINISTRY,BUDGETARY_UNIT,CROSS_FUNC?,BUDGET_PLAN,OUTPUT,PROJECT,CATEGORY_LV1,CATEGORY_LV2,CATEGORY_LV3,CATEGORY_LV4,CATEGORY_LV5,CATEGORY_LV6,ITEM_DESCRIPTION,FISCAL_YEAR,AMOUNT,OBLIGED?
2022.3.3(5).0,2022.3.3(5).0,2022.3.3(5),20,กระทรวงการอดุมศึกษาวิทยาศาสตร์วิจยัและนวตักรรม,สาํนักงานพัฒนาวิทยาศาสตรแ์ละเทคโนโลยีแห่งชาติ,False,แผนงานบุคลากรภาครัฐ,,,งบเงินอุดหนุน,เงินอุดหนุนทวั(cid:201)ไป,,,,,ค่าใช้จ่ายบุคลากร,2022,1445220100.0,False
2022.3.3(5).1,2022.3.3(5).1,2022.3.3(5),22,กระทรวงการอดุมศึกษาวิทยาศาสตร์วิจยัและนวตักรรม,สาํนักงานพัฒนาวิทยาศาสตรแ์ละเทคโนโลยีแห่งชาติ,False,แผนงานพ(cid:202)ืนฐานด้านการสร้างความสามารถในการแข่งขัน,201)ี 1 :  การบริหารและใชป้ระโยชน์อทุยานวิทยาศาสตรป์ระเทศไทย,,งบเงินอุดหนุน,เงินอุดหนุนทวั(cid:201)ไป,,,,,ค่าใช้จ่ายดาํเนนิงาน,2022,178021200.0,False
2022.3.3(5).2,2022.3.3(5).2,2022.3.3(5),24,กระทรวงการอดุมศึกษาวิทยาศาสตร์วิจยัและนวตักรรม,สาํนักงานพัฒนาวิทยาศาสตรแ์ละเทคโนโลยีแห่งชาติ,False,แผนงานยุทธศาสตรก์ารเกษตรสร้างมูลค่า,201)ี 1 :  โครงการสง่เสริมการผลติเศรษฐกิจชีวภาพ (Bio Economy)ใหเ้ป็นฐานรายไดใ้หม่ท(cid:201)ีสาํคญัของภาค,,งบเงินอุดหนุน,เงินอุดหนุนทวั(cid:201)ไป,,,,,ค่าใช้จ่ายดาํเนนิงาน,2022,10000000.0,False
2022.3.3(5).3,2022.3.3(5).3,2022.3.3(5),26,กระทรวงการอดุมศึกษาวิทยาศาสตร์วิจยัและนวตักรรม,สาํนักงานพัฒนาวิทยาศาสตรแ์ละเทคโนโลยีแห่งชาติ,False,แผนงานยุทธศาสตรก์ารเกษตรสร้างมูลค่า,201)ี 2 :  โครงการพัฒนาต่อยอดอตุสาหกรรมสร้างสรรคแ์ละสนิค้าชุมชน,,งบเงินอุดหนุน,เงินอุดหนุนทวั(cid:201)ไป,,,,,ค่าใช้จ่ายดาํเนนิงาน,2022,12500000.0,False
2022.3.3(5).4,2022.3.3(5).4,2022.3.3(5),28,กระทรวงการอดุมศึกษาวิทยาศาสตร์วิจยัและนวตักรรม,สาํนักงานพัฒนาวิทยาศาสตรแ์ละเทคโนโลยีแห่งชาติ,False,แผนงานยุทธศาสตรก์ารเกษตรสร้างมูลค่า,201)ี 3 :  โครงการเพ(cid:201)ิมประสทิธิภาพการผลติสนิค้าเกษตรปลอดภยั,,งบเงินอุดหนุน,เงินอุดหนุนทวั(cid:201)ไป,,,,,ค่าใช้จ่ายดาํเนนิงาน,2022,10000000.0,False
2022.3.3(5).5,2022.3.3(5).5,2022.3.3(5),30,กระทรวงการอดุมศึกษาวิทยาศาสตร์วิจยัและนวตักรรม,สาํนักงานพัฒนาวิทยาศาสตรแ์ละเทคโนโลยีแห่งชาติ,False,แผนงานยุทธศาสตร์พัฒนาผูป้ระกอบการและวิสาหกจิขนาดกลางและขนาดย่อม,201)ี 1 :  โครงการสร้างความพรอ้มให้SME ในการเข้าสูก่ารแข่งขันในบริบทใหม่ทางเศรษฐกิจ,,งบเงินอุดหนุน,เงินอุดหนุนทวั(cid:201)ไป,,,,,ค่าใช้จ่ายดาํเนนิงาน,2022,125000000.0,False
2022.3.3(5).6,2022.3.3(5).6,2022.3.3(5),32,กระทรวงการอดุมศึกษาวิทยาศาสตร์วิจยัและนวตักรรม,สาํนักงานพัฒนาวิทยาศาสตรแ์ละเทคโนโลยีแห่งชาติ,False,แผนงานยุทธศาสตรเ์พ(cid:201)ือสนับสนุนด้านการสร้างความสามารถในการแข่งขัน,201)ี 1 :  การพัฒนาและสง่เสริมบุคลากรวิจยั,,งบเงินอุดหนุน,เงินอุดหนุนทวั(cid:201)ไป,,,,,ค่าใช้จ่ายดาํเนนิงาน,2022,109663900.0,False
2022.3.3(5).7,2022.3.3(5).7,2022.3.3(5),34,กระทรวงการอดุมศึกษาวิทยาศาสตร์วิจยัและนวตักรรม,สาํนักงานพัฒนาวิทยาศาสตรแ์ละเทคโนโลยีแห่งชาติ,False,แผนงานยุทธศาสตรเ์พ(cid:201)ือสนับสนุนด้านการสร้างความสามารถในการแข่งขัน,201)ี 2 :  โครงสร้างพ(cid:202)ืนฐานด้านวิทยาศาสตร์เทคโนโลยีและนวตักรรม,,งบเงินอุดหนุน,เงินอุดหนุนทวั(cid:201)ไป,,,,,ค่าใช้จ่ายดาํเนนิงาน,2022,165841500.0,False
2022.3.3(5).8,2022.3.3(5).8,2022.3.3(5),34,กระทรวงการอดุมศึกษาวิทยาศาสตร์วิจยัและนวตักรรม,สาํนักงานพัฒนาวิทยาศาสตรแ์ละเทคโนโลยีแห่งชาติ,False,แผนงานยุทธศาสตรเ์พ(cid:201)ือสนับสนุนด้านการสร้างความสามารถในการแข่งขัน,201)ี 2 :  โครงสร้างพ(cid:202)ืนฐานด้านวิทยาศาสตร์เทคโนโลยีและนวตักรรม,,งบเงินอุดหนุน,เงินอุดหนุนเฉพาะกิจ,ค่าครุภณัฑ์,,,,ระบบครุภณัฑธ์นาคารทรพัยากรชีวภาพแหง่ชาตเิพอ(cid:201)ือนุรักษ์วจิยัและใชป้ระโยชน์ตาํบลคลองหน(cid:201)งึ  อาํเภอคลองหลวงจงัหวดัปทมุธานี1 ระบบ,2022,9122400.0,False
2022.3.3(5).9,2022.3.3(5).9,2022.3.3(5),34,กระทรวงการอดุมศึกษาวิทยาศาสตร์วิจยัและนวตักรรม,สาํนักงานพัฒนาวิทยาศาสตรแ์ละเทคโนโลยีแห่งชาติ,False,แผนงานยุทธศาสตรเ์พ(cid:201)ือสนับสนุนด้านการสร้างความสามารถในการแข่งขัน,201)ี 2 :  โครงสร้างพ(cid:202)ืนฐานด้านวิทยาศาสตร์เทคโนโลยีและนวตักรรม,,งบเงินอุดหนุน,เงินอุดหนุนเฉพาะกิจ,ค่าครุภณัฑ์,,,,ระบบครุภณัฑศ์ูนย์โอมกิสแ์หง่ชาติตาํบลคลองหน(cid:201)งึ  อาํเภอคลองหลวงจงัหวดัปทมุธานี 1 ระบบ,2022,6088000.0,False
