,ITEM_ID,REF_DOC,REF_PAGE_NO,MINISTRY,BUDGETARY_UNIT,CROSS_FUNC?,BUDGET_PLAN,OUTPUT,PROJECT,CATEGORY_LV1,CATEGORY_LV2,CATEGORY_LV3,CATEGORY_LV4,CATEGORY_LV5,CATEGORY_LV6,ITEM_DESCRIPTION,FISCAL_YEAR,AMOUNT,OBLIGED?
2022.3.15.0,2022.3.15.0,2022.3.15,11,หน่วยงานของรฐัสภา,สถาบนัพระปกเกล้า,False,แผนงานบุคลากรภาครัฐ,,,"งบเงินอุดหนุน        184,435,200","เงินอุดหนุนทวั่ไป        184,435,200",,,,,"ค่าใช้จ่ายบุคลากร        171,271,200",2022,98805100.0,False
2022.3.15.1,2022.3.15.1,2022.3.15,11,หน่วยงานของรฐัสภา,สถาบนัพระปกเกล้า,False,แผนงานบุคลากรภาครัฐ,,,"งบเงินอุดหนุน        184,435,200","เงินอุดหนุนทวั่ไป        184,435,200",,,,,"ค่าใช้จ่ายดาเนนิงาน         13,164,000",2022,4940300.0,False
2022.3.15.2,2022.3.15.2,2022.3.15,13,หน่วยงานของรฐัสภา,สถาบนัพระปกเกล้า,False,แผนงานพื้นฐานด้านการปรบัสมดุลและพัฒนาระบบการบริหารจัดการภาครัฐ,การสร้างองคค์วามรูใ้นการพัฒนาประชาธิปไตย,,"งบเงินอุดหนุน        308,074,700","เงินอุดหนุนทวั่ไป        308,074,700",,,,,"ค่าใช้จ่ายดาเนนิงาน        273,442,500",2022,49876600.0,False
2022.3.15.3,2022.3.15.3,2022.3.15,13,หน่วยงานของรฐัสภา,สถาบนัพระปกเกล้า,False,แผนงานพื้นฐานด้านการปรบัสมดุลและพัฒนาระบบการบริหารจัดการภาครัฐ,การสร้างองคค์วามรูใ้นการพัฒนาประชาธิปไตย,,"งบเงินอุดหนุน        308,074,700","เงินอุดหนุนทวั่ไป        308,074,700",,,,,"ค่าครุภณัฑ์         14,845,400",2022,9625500.0,False
2022.3.15.4,2022.3.15.4,2022.3.15,13,หน่วยงานของรฐัสภา,สถาบนัพระปกเกล้า,False,แผนงานพื้นฐานด้านการปรบัสมดุลและพัฒนาระบบการบริหารจัดการภาครัฐ,การสร้างองคค์วามรูใ้นการพัฒนาประชาธิปไตย,,"งบเงินอุดหนุน        308,074,700","เงินอุดหนุนทวั่ไป        308,074,700",,,,,"ค่าทด่ีนิ /สง่ิก่อสร้าง         19,786,800",2022,17901500.0,False
2022.3.15.5,2022.3.15.5,2022.3.15,15,หน่วยงานของรฐัสภา,สถาบนัพระปกเกล้า,False,แผนงานยุทธศาสตร์พัฒนาและเสรมิสร้างการเมืองในระบอบประชาธิปไตยอนัมีพระมหากษตัรยิ์,การสร้างองคค์วามรูค้วามเข้าใจและตระหนักถึงการทา  หน้าท่พีลเมืองท่ดีีตามวิถรีะบอบประชาธิปไตยอนัมีพระมหากษตัรยิท์รงเป็นประมขุ,,"งบเงินอุดหนุน         26,384,600","เงินอุดหนุนทวั่ไป         26,384,600",,,,,"ค่าใช้จ่ายดาเนนิงาน         26,384,600",2022,16832400.0,False
2022.3.15.6,2022.3.15.6,2022.3.15,24,หน่วยงานของรฐัสภา,สำนักงานเลขาธิการวฒุสิภา,False,แผนงานบุคลากรภาครัฐ,,,"งบเงินอุดหนุน      1,498,109,700","เงินอุดหนุนทวั่ไป      1,498,109,700",,,,,"ค่าใช้จ่ายบุคลากร      1,012,937,400",2022,950403400.0,False
2022.3.15.7,2022.3.15.7,2022.3.15,24,หน่วยงานของรฐัสภา,สำนักงานเลขาธิการวฒุสิภา,False,แผนงานบุคลากรภาครัฐ,,,"งบเงินอุดหนุน      1,498,109,700","เงินอุดหนุนทวั่ไป      1,498,109,700",,,,,"ค่าใช้จ่ายดาเนนิงาน        485,172,300",2022,469458400.0,False
2022.3.15.8,2022.3.15.8,2022.3.15,26,หน่วยงานของรฐัสภา,สำนักงานเลขาธิการวฒุสิภา,False,แผนงานพื้นฐานด้านการปรบัสมดุลและพัฒนาระบบการบริหารจัดการภาครัฐ,การพัฒนาองคก์รเพ่อืใหง้านด้านนิติบญัญตัิเป็นไปเพ่อืประโยชน์สาธารณะ,,"งบเงินอุดหนุน        459,648,400","เงินอุดหนุนทวั่ไป        459,648,400","ค่าใช้จ่ายดาเนนิงาน        349,990,300",,,,"ค่าเช่ารถยนตน์งั่ส่วนกลาง 4 คนั             655,200",2020,885600.0,True
2022.3.15.9,2022.3.15.9,2022.3.15,26,หน่วยงานของรฐัสภา,สำนักงานเลขาธิการวฒุสิภา,False,แผนงานพื้นฐานด้านการปรบัสมดุลและพัฒนาระบบการบริหารจัดการภาครัฐ,การพัฒนาองคก์รเพ่อืใหง้านด้านนิติบญัญตัิเป็นไปเพ่อืประโยชน์สาธารณะ,,"งบเงินอุดหนุน        459,648,400","เงินอุดหนุนทวั่ไป        459,648,400","ค่าใช้จ่ายดาเนนิงาน        349,990,300",,,,"ค่าเช่ารถยนตน์งั่ส่วนกลาง 4 คนั             655,200",2021,885600.0,True
