,ITEM_ID,REF_DOC,REF_PAGE_NO,MINISTRY,BUDGETARY_UNIT,CROSS_FUNC?,BUDGET_PLAN,OUTPUT,PROJECT,CATEGORY_LV1,CATEGORY_LV2,CATEGORY_LV3,CATEGORY_LV4,CATEGORY_LV5,CATEGORY_LV6,ITEM_DESCRIPTION,FISCAL_YEAR,AMOUNT,OBLIGED?
2022.3.7.0,2022.3.7.0,2022.3.7,16,กระทรวงพลงังาน,สำนักงานปลดักระทรวงพลงังาน,False,แผนงานบุคลากรภาครัฐ,,,งบบุคลากร,เงินเดือนและค่าจ้างประจำ,,,,,เงินเดือน,2022,216186900.0,False
2022.3.7.1,2022.3.7.1,2022.3.7,16,กระทรวงพลงังาน,สำนักงานปลดักระทรวงพลงังาน,False,แผนงานบุคลากรภาครัฐ,,,งบบุคลากร,เงินเดือนและค่าจ้างประจำ,,,,,ค่าจ้างประจำ,2022,645900.0,False
2022.3.7.2,2022.3.7.2,2022.3.7,16,กระทรวงพลงังาน,สำนักงานปลดักระทรวงพลงังาน,False,แผนงานบุคลากรภาครัฐ,,,งบบุคลากร,,,,,,ค่าตอบแทนพนกังานราชการ,2022,27230700.0,False
2022.3.7.3,2022.3.7.3,2022.3.7,16,กระทรวงพลงังาน,สำนักงานปลดักระทรวงพลงังาน,False,แผนงานบุคลากรภาครัฐ,,,งบดำเนินงาน,ค่าตอบแทนใช้สอยและวัสดุ,,,,,ค่าเช่าบ้าน,2022,7815600.0,False
2022.3.7.4,2022.3.7.4,2022.3.7,16,กระทรวงพลงังาน,สำนักงานปลดักระทรวงพลงังาน,False,แผนงานบุคลากรภาครัฐ,,,งบดำเนินงาน,ค่าตอบแทนใช้สอยและวัสดุ,,,,,ค่าตอบแทนพิเศษข้าราชการและลูกจ้างประจาทไ่ีดร้บัเงินเดือนเต็มขั้น,2022,83000.0,False
2022.3.7.5,2022.3.7.5,2022.3.7,16,กระทรวงพลงังาน,สำนักงานปลดักระทรวงพลงังาน,False,แผนงานบุคลากรภาครัฐ,,,งบดำเนินงาน,ค่าตอบแทนใช้สอยและวัสดุ,,,,,ค่าตอบแทนพิเศษผูป้ฏบิตังิานชายแดนภาคใต้,2022,84000.0,False
2022.3.7.6,2022.3.7.6,2022.3.7,16,กระทรวงพลงังาน,สำนักงานปลดักระทรวงพลงังาน,False,แผนงานบุคลากรภาครัฐ,,,งบดำเนินงาน,ค่าตอบแทนใช้สอยและวัสดุ,,,,,เงินสมทบกองทนุประกนัสังคม,2022,793700.0,False
2022.3.7.7,2022.3.7.7,2022.3.7,16,กระทรวงพลงังาน,สำนักงานปลดักระทรวงพลงังาน,False,แผนงานบุคลากรภาครัฐ,,,งบดำเนินงาน,ค่าตอบแทนใช้สอยและวัสดุ,,,,,เงินสมทบกองทนุเงินทดแทน,2022,41500.0,False
2022.3.7.8,2022.3.7.8,2022.3.7,18,กระทรวงพลงังาน,สำนักงานปลดักระทรวงพลงังาน,False,แผนงานพื้นฐานด้านการสร้างความสามารถในการแข่งขัน,บริหารจัดการแผนพลงังาน,,งบดำเนินงาน,ค่าตอบแทนใช้สอยและวัสดุ,รายการไมผู่กพนั,,,,ค่าตอบแทนเหมาจ่ายแทนการจดัหารถประจาตา  แหน่ง,2022,3468000.0,False
2022.3.7.9,2022.3.7.9,2022.3.7,18,กระทรวงพลงังาน,สำนักงานปลดักระทรวงพลงังาน,False,แผนงานพื้นฐานด้านการสร้างความสามารถในการแข่งขัน,บริหารจัดการแผนพลงังาน,,งบดำเนินงาน,ค่าตอบแทนใช้สอยและวัสดุ,รายการไมผู่กพนั,,,,ค่าเบี้ยประชุมกรรมการ,2022,475000.0,False
2022.3.7.10,2022.3.7.10,2022.3.7,18,กระทรวงพลงังาน,สำนักงานปลดักระทรวงพลงังาน,False,แผนงานพื้นฐานด้านการสร้างความสามารถในการแข่งขัน,บริหารจัดการแผนพลงังาน,,งบดำเนินงาน,ค่าตอบแทนใช้สอยและวัสดุ,รายการไมผู่กพนั,,,,ค่าเช่าทรพัยส์นิ,2022,3196800.0,False
2022.3.7.11,2022.3.7.11,2022.3.7,18,กระทรวงพลงังาน,สำนักงานปลดักระทรวงพลงังาน,False,แผนงานพื้นฐานด้านการสร้างความสามารถในการแข่งขัน,บริหารจัดการแผนพลงังาน,,งบดำเนินงาน,ค่าตอบแทนใช้สอยและวัสดุ,รายการไมผู่กพนั,,,,ค่าจ้างเหมาบริการ,2022,9437500.0,False
2022.3.7.12,2022.3.7.12,2022.3.7,18,กระทรวงพลงังาน,สำนักงานปลดักระทรวงพลงังาน,False,แผนงานพื้นฐานด้านการสร้างความสามารถในการแข่งขัน,บริหารจัดการแผนพลงังาน,,งบดำเนินงาน,ค่าตอบแทนใช้สอยและวัสดุ,รายการไมผู่กพนั,,,,ค่าจ้างเหมาบุคลากรช่วยปฏิบัติงานส่วนภูมภิาค,2022,21075800.0,False
2022.3.7.13,2022.3.7.13,2022.3.7,18,กระทรวงพลงังาน,สำนักงานปลดักระทรวงพลงังาน,False,แผนงานพื้นฐานด้านการสร้างความสามารถในการแข่งขัน,บริหารจัดการแผนพลงังาน,,งบดำเนินงาน,ค่าตอบแทนใช้สอยและวัสดุ,รายการไมผู่กพนั,,,,ค่าจ้างเหมาบุคลากรช่วยปฏิบัติงานส่วนกลาง,2022,2438000.0,False
2022.3.7.14,2022.3.7.14,2022.3.7,18,กระทรวงพลงังาน,สำนักงานปลดักระทรวงพลงังาน,False,แผนงานพื้นฐานด้านการสร้างความสามารถในการแข่งขัน,บริหารจัดการแผนพลงังาน,,งบดำเนินงาน,ค่าตอบแทนใช้สอยและวัสดุ,รายการไมผู่กพนั,,,,ค่าใช้จ่ายระบบปรบัอากาศในหอ้ง Data Center และค่าน้าเยน็  FCU,2022,959600.0,False
