,ITEM_ID,REF_DOC,REF_PAGE_NO,MINISTRY,BUDGETARY_UNIT,CROSS_FUNC?,BUDGET_PLAN,OUTPUT,PROJECT,CATEGORY_LV1,CATEGORY_LV2,CATEGORY_LV3,CATEGORY_LV4,CATEGORY_LV5,CATEGORY_LV6,ITEM_DESCRIPTION,FISCAL_YEAR,AMOUNT,OBLIGED?
2022.3.12.0,2022.3.12.0,2022.3.12,15,กระทรวงอตุสาหกรรม,สำนักงานปลดักระทรวงอตุสาหกรรม,False,แผนงานบุคลากรภาครัฐ,,,งบบุคลากร,เงินเดือนและค่าจ้างประจำ,,,,,เงินเดือน,2022,431026400.0,False
2022.3.12.1,2022.3.12.1,2022.3.12,15,กระทรวงอตุสาหกรรม,สำนักงานปลดักระทรวงอตุสาหกรรม,False,แผนงานบุคลากรภาครัฐ,,,งบบุคลากร,เงินเดือนและค่าจ้างประจำ,,,,,ค่าจ้างประจำ,2022,41288900.0,False
2022.3.12.2,2022.3.12.2,2022.3.12,15,กระทรวงอตุสาหกรรม,สำนักงานปลดักระทรวงอตุสาหกรรม,False,แผนงานบุคลากรภาครัฐ,,,งบบุคลากร,,,,,,ค่าจ้างชวั่คราว,2022,2128500.0,False
2022.3.12.3,2022.3.12.3,2022.3.12,15,กระทรวงอตุสาหกรรม,สำนักงานปลดักระทรวงอตุสาหกรรม,False,แผนงานบุคลากรภาครัฐ,,,งบบุคลากร,,,,,,ค่าตอบแทนพนกังานราชการ,2022,34566400.0,False
2022.3.12.4,2022.3.12.4,2022.3.12,15,กระทรวงอตุสาหกรรม,สำนักงานปลดักระทรวงอตุสาหกรรม,False,แผนงานบุคลากรภาครัฐ,,,งบดำเนินงาน,ค่าตอบแทนใช้สอยและวัสดุ,,,,,ค่าเช่าบ้าน,2022,12387600.0,False
2022.3.12.5,2022.3.12.5,2022.3.12,15,กระทรวงอตุสาหกรรม,สำนักงานปลดักระทรวงอตุสาหกรรม,False,แผนงานบุคลากรภาครัฐ,,,งบดำเนินงาน,ค่าตอบแทนใช้สอยและวัสดุ,,,,,เงินพิเศษจ่ายแก่ลูกจ้างในต่างประเทศ,2022,514000.0,False
2022.3.12.6,2022.3.12.6,2022.3.12,15,กระทรวงอตุสาหกรรม,สำนักงานปลดักระทรวงอตุสาหกรรม,False,แผนงานบุคลากรภาครัฐ,,,งบดำเนินงาน,ค่าตอบแทนใช้สอยและวัสดุ,,,,,ค่าตอบแทนพิเศษข้าราชการและลูกจ้างประจาทไ่ีดร้บัเงินเดือนเต็มขั้น,2022,334800.0,False
2022.3.12.7,2022.3.12.7,2022.3.12,15,กระทรวงอตุสาหกรรม,สำนักงานปลดักระทรวงอตุสาหกรรม,False,แผนงานบุคลากรภาครัฐ,,,งบดำเนินงาน,ค่าตอบแทนใช้สอยและวัสดุ,,,,,ค่าตอบแทนพิเศษผูป้ฏบิตังิานชายแดนภาคใต้,2022,282000.0,False
2022.3.12.8,2022.3.12.8,2022.3.12,15,กระทรวงอตุสาหกรรม,สำนักงานปลดักระทรวงอตุสาหกรรม,False,แผนงานบุคลากรภาครัฐ,,,งบดำเนินงาน,ค่าตอบแทนใช้สอยและวัสดุ,,,,,ค่ารกัษาพยาบาลข้าราชการในต่างประเทศ,2022,186600.0,False
2022.3.12.9,2022.3.12.9,2022.3.12,15,กระทรวงอตุสาหกรรม,สำนักงานปลดักระทรวงอตุสาหกรรม,False,แผนงานบุคลากรภาครัฐ,,,งบดำเนินงาน,ค่าตอบแทนใช้สอยและวัสดุ,,,,,เงินสมทบกองทนุประกนัสังคม,2022,1118700.0,False
2022.3.12.10,2022.3.12.10,2022.3.12,15,กระทรวงอตุสาหกรรม,สำนักงานปลดักระทรวงอตุสาหกรรม,False,แผนงานบุคลากรภาครัฐ,,,งบดำเนินงาน,ค่าตอบแทนใช้สอยและวัสดุ,,,,,เงินสมทบกองทนุเงินทดแทน,2022,58100.0,False
2022.3.12.11,2022.3.12.11,2022.3.12,17,กระทรวงอตุสาหกรรม,สำนักงานปลดักระทรวงอตุสาหกรรม,False,แผนงานพื้นฐานด้านการสร้างความสามารถในการแข่งขัน,สง่เสรมิและพัฒนาอตุสาหกรรมอย่างยงั่ยืน,,งบดำเนินงาน,ค่าตอบแทนใช้สอยและวัสดุ,รายการไมผู่กพนั,,,,ค่าตอบแทนการปฏิบัติงานนอกเวลาราชการ,2022,1722400.0,False
2022.3.12.12,2022.3.12.12,2022.3.12,17,กระทรวงอตุสาหกรรม,สำนักงานปลดักระทรวงอตุสาหกรรม,False,แผนงานพื้นฐานด้านการสร้างความสามารถในการแข่งขัน,สง่เสรมิและพัฒนาอตุสาหกรรมอย่างยงั่ยืน,,งบดำเนินงาน,ค่าตอบแทนใช้สอยและวัสดุ,รายการไมผู่กพนั,,,,ค่าตอบแทนผูป้ฏบิตังิานใหร้าชการ,2022,361500.0,False
2022.3.12.13,2022.3.12.13,2022.3.12,17,กระทรวงอตุสาหกรรม,สำนักงานปลดักระทรวงอตุสาหกรรม,False,แผนงานพื้นฐานด้านการสร้างความสามารถในการแข่งขัน,สง่เสรมิและพัฒนาอตุสาหกรรมอย่างยงั่ยืน,,งบดำเนินงาน,ค่าตอบแทนใช้สอยและวัสดุ,รายการไมผู่กพนั,,,,ค่าเบี้ยประชุมกรรมการ,2022,175800.0,False
2022.3.12.14,2022.3.12.14,2022.3.12,17,กระทรวงอตุสาหกรรม,สำนักงานปลดักระทรวงอตุสาหกรรม,False,แผนงานพื้นฐานด้านการสร้างความสามารถในการแข่งขัน,สง่เสรมิและพัฒนาอตุสาหกรรมอย่างยงั่ยืน,,งบดำเนินงาน,ค่าตอบแทนใช้สอยและวัสดุ,รายการไมผู่กพนั,,,,ค่าตอบแทนเหมาจ่ายแทนการจดัหารถประจาตาแหน่ง,2022,3827300.0,False
2022.3.12.15,2022.3.12.15,2022.3.12,17,กระทรวงอตุสาหกรรม,สำนักงานปลดักระทรวงอตุสาหกรรม,False,แผนงานพื้นฐานด้านการสร้างความสามารถในการแข่งขัน,สง่เสรมิและพัฒนาอตุสาหกรรมอย่างยงั่ยืน,,งบดำเนินงาน,ค่าตอบแทนใช้สอยและวัสดุ,รายการไมผู่กพนั,,,,ค่าเบี้ยเล้ยีงค่าเช่าทพ่ีกัและค่าพาหนะ,2022,6525400.0,False
