,ITEM_ID,REF_DOC,REF_PAGE_NO,MINISTRY,BUDGETARY_UNIT,CROSS_FUNC?,BUDGET_PLAN,OUTPUT,PROJECT,CATEGORY_LV1,CATEGORY_LV2,CATEGORY_LV3,CATEGORY_LV4,CATEGORY_LV5,CATEGORY_LV6,ITEM_DESCRIPTION,FISCAL_YEAR,AMOUNT,OBLIGED?
2022.3.2.0,2022.3.2.0,2022.3.2,13,กระทรวงการคลัง,สำนักงานปลดักระทรวงการคลัง,False,แผนงานบุคลากรภาครัฐ,,,งบบุคลากร,เงินเดือนและค่าจ้างประจำ,,,,,เงินเดือน,2022,96896200.0,False
2022.3.2.1,2022.3.2.1,2022.3.2,13,กระทรวงการคลัง,สำนักงานปลดักระทรวงการคลัง,False,แผนงานบุคลากรภาครัฐ,,,งบบุคลากร,เงินเดือนและค่าจ้างประจำ,,,,,ค่าจ้างประจำ,2022,5479100.0,False
2022.3.2.2,2022.3.2.2,2022.3.2,13,กระทรวงการคลัง,สำนักงานปลดักระทรวงการคลัง,False,แผนงานบุคลากรภาครัฐ,,,งบบุคลากร,,,,,,ค่าตอบแทนพนกังานราชการ,2022,17832700.0,False
2022.3.2.3,2022.3.2.3,2022.3.2,13,กระทรวงการคลัง,สำนักงานปลดักระทรวงการคลัง,False,แผนงานบุคลากรภาครัฐ,,,งบดำเนินงาน,ค่าตอบแทนใช้สอยและวัสดุ,,,,,ค่าเช่าบ้าน,2022,198000.0,False
2022.3.2.4,2022.3.2.4,2022.3.2,13,กระทรวงการคลัง,สำนักงานปลดักระทรวงการคลัง,False,แผนงานบุคลากรภาครัฐ,,,งบดำเนินงาน,ค่าตอบแทนใช้สอยและวัสดุ,,,,,ค่าตอบแทนพิเศษข้าราชการและลูกจ้างทไ่ีดร้บัเงินเดือนเต็มขั้น,2022,298200.0,False
2022.3.2.5,2022.3.2.5,2022.3.2,13,กระทรวงการคลัง,สำนักงานปลดักระทรวงการคลัง,False,แผนงานบุคลากรภาครัฐ,,,งบดำเนินงาน,ค่าตอบแทนใช้สอยและวัสดุ,,,,,เงินสมทบกองทนุประกนัสังคม,2022,720000.0,False
2022.3.2.6,2022.3.2.6,2022.3.2,13,กระทรวงการคลัง,สำนักงานปลดักระทรวงการคลัง,False,แผนงานบุคลากรภาครัฐ,,,งบดำเนินงาน,ค่าตอบแทนใช้สอยและวัสดุ,,,,,เงินสมทบกองทนุเงินทดแทน,2022,38400.0,False
2022.3.2.7,2022.3.2.7,2022.3.2,15,กระทรวงการคลัง,สำนักงานปลดักระทรวงการคลัง,False,แผนงานพื้นฐานด้านการสร้างความสามารถในการแข่งขัน,การบริหารจัดการการติดตามและการประเมินผลการปฏิบัติราชการของหน่วยงานใบกำกับ,,งบดำเนินงาน,ค่าตอบแทนใช้สอยและวัสดุ,รายการไมผู่กพนั,,,,ค่าตอบแทนการปฏิบัติงานนอกเวลาราชการ,2022,620100.0,False
2022.3.2.8,2022.3.2.8,2022.3.2,15,กระทรวงการคลัง,สำนักงานปลดักระทรวงการคลัง,False,แผนงานพื้นฐานด้านการสร้างความสามารถในการแข่งขัน,การบริหารจัดการการติดตามและการประเมินผลการปฏิบัติราชการของหน่วยงานใบกำกับ,,งบดำเนินงาน,ค่าตอบแทนใช้สอยและวัสดุ,รายการไมผู่กพนั,,,,ค่าตอบแทนผูป้ฏบิตังิานใหร้าชการ,2022,291000.0,False
2022.3.2.9,2022.3.2.9,2022.3.2,15,กระทรวงการคลัง,สำนักงานปลดักระทรวงการคลัง,False,แผนงานพื้นฐานด้านการสร้างความสามารถในการแข่งขัน,การบริหารจัดการการติดตามและการประเมินผลการปฏิบัติราชการของหน่วยงานใบกำกับ,,งบดำเนินงาน,ค่าตอบแทนใช้สอยและวัสดุ,รายการไมผู่กพนั,,,,ค่าเบี้ยประชุมกรรมการ,2022,475100.0,False
