,ITEM_ID,REF_DOC,REF_PAGE_NO,MINISTRY,BUDGETARY_UNIT,CROSS_FUNC?,BUDGET_PLAN,OUTPUT,PROJECT,CATEGORY_LV1,CATEGORY_LV2,CATEGORY_LV3,CATEGORY_LV4,CATEGORY_LV5,CATEGORY_LV6,ITEM_DESCRIPTION,FISCAL_YEAR,AMOUNT,OBLIGED?
2022.3.1.0,2022.3.1.0,2022.3.1,28,สำนักนายกรฐัมนตรี,สำนักงานปลดัสำนักนายกรฐัมนตรี,False,แผนงานบุคลากรภาครัฐ,,,งบบุคลากร,เงินเดือนและค่าจ้างประจำ,,,,,เงินเดือน,2022,183777300.0,False
2022.3.1.1,2022.3.1.1,2022.3.1,28,สำนักนายกรฐัมนตรี,สำนักงานปลดัสำนักนายกรฐัมนตรี,False,แผนงานบุคลากรภาครัฐ,,,งบบุคลากร,เงินเดือนและค่าจ้างประจำ,,,,,ค่าจ้างประจำ,2022,7478400.0,False
2022.3.1.2,2022.3.1.2,2022.3.1,28,สำนักนายกรฐัมนตรี,สำนักงานปลดัสำนักนายกรฐัมนตรี,False,แผนงานบุคลากรภาครัฐ,,,งบบุคลากร,,,,,,ค่าตอบแทนพนกังานราชการ,2022,60849400.0,False
2022.3.1.3,2022.3.1.3,2022.3.1,28,สำนักนายกรฐัมนตรี,สำนักงานปลดัสำนักนายกรฐัมนตรี,False,แผนงานบุคลากรภาครัฐ,,,งบดำเนินงาน,ค่าตอบแทนใช้สอยและวัสดุ,,,,,ค่าเช่าบ้าน,2022,928800.0,False
2022.3.1.4,2022.3.1.4,2022.3.1,28,สำนักนายกรฐัมนตรี,สำนักงานปลดัสำนักนายกรฐัมนตรี,False,แผนงานบุคลากรภาครัฐ,,,งบดำเนินงาน,ค่าตอบแทนใช้สอยและวัสดุ,,,,,ค่าตอบแทนพิเศษของข้าราชการและลูกจ้างประจาทไ่ีดร้บัเงินเดือนเต็มขั้น,2022,305200.0,False
2022.3.1.5,2022.3.1.5,2022.3.1,28,สำนักนายกรฐัมนตรี,สำนักงานปลดัสำนักนายกรฐัมนตรี,False,แผนงานบุคลากรภาครัฐ,,,งบดำเนินงาน,ค่าตอบแทนใช้สอยและวัสดุ,,,,,เงินสมทบกองทนุประกนัสังคม,2022,1878800.0,False
2022.3.1.6,2022.3.1.6,2022.3.1,28,สำนักนายกรฐัมนตรี,สำนักงานปลดัสำนักนายกรฐัมนตรี,False,แผนงานบุคลากรภาครัฐ,,,งบดำเนินงาน,ค่าตอบแทนใช้สอยและวัสดุ,,,,,เงินสมทบกองทนุเงินทดแทน,2022,87700.0,False
2022.3.1.7,2022.3.1.7,2022.3.1,31,สำนักนายกรฐัมนตรี,สำนักงานปลดัสำนักนายกรฐัมนตรี,False,แผนงานพื้นฐานด้านการปรบัสมดุลและพัฒนาระบบการบริหารจัดการภาครัฐ,การพัฒนาติดตามและประเมินผลการปฏิบัติราชการและ,,งบดำเนินงาน,ค่าตอบแทนใช้สอยและวัสดุ,รายการไมผู่กพนั,,,,ค่าอาหารทาการนอกเวลา,2022,3175600.0,False
2022.3.1.8,2022.3.1.8,2022.3.1,31,สำนักนายกรฐัมนตรี,สำนักงานปลดัสำนักนายกรฐัมนตรี,False,แผนงานพื้นฐานด้านการปรบัสมดุลและพัฒนาระบบการบริหารจัดการภาครัฐ,การพัฒนาติดตามและประเมินผลการปฏิบัติราชการและ,,งบดำเนินงาน,ค่าตอบแทนใช้สอยและวัสดุ,รายการไมผู่กพนั,,,,ค่าเบี้ยประชุมกรรมการ,2022,8020600.0,False
2022.3.1.9,2022.3.1.9,2022.3.1,31,สำนักนายกรฐัมนตรี,สำนักงานปลดัสำนักนายกรฐัมนตรี,False,แผนงานพื้นฐานด้านการปรบัสมดุลและพัฒนาระบบการบริหารจัดการภาครัฐ,การพัฒนาติดตามและประเมินผลการปฏิบัติราชการและ,,งบดำเนินงาน,ค่าตอบแทนใช้สอยและวัสดุ,รายการไมผู่กพนั,,,,ค่าตอบแทนเหมาจ่ายแทนการจดัหารถประจาตาแหน่ง,2022,8496000.0,False
